nome,uriVella,NovoElemento,uriNiovo
landscape design,http://aims.fao.org/aos/agrovoc/c_35175,landscape,http://aims.fao.org/aos/agrovoc/c_4185
clothing design,http://aims.fao.org/aos/agrovoc/c_0559f8c7,clothing,http://aims.fao.org/aos/agrovoc/c_a71a1006
frost protection,http://aims.fao.org/aos/agrovoc/c_25709,frost,http://aims.fao.org/aos/agrovoc/c_3113
frost protection,http://aims.fao.org/aos/agrovoc/c_25709,protection,http://aims.fao.org/aos/agrovoc/c_330896
wind protection,http://aims.fao.org/aos/agrovoc/c_8395,protection,http://aims.fao.org/aos/agrovoc/c_330896
hail control,http://aims.fao.org/aos/agrovoc/c_25154,hail,http://aims.fao.org/aos/agrovoc/c_3469
sex diagnosis,http://aims.fao.org/aos/agrovoc/c_14228,sex,http://aims.fao.org/aos/agrovoc/c_7010
pregnancy diagnosis,http://aims.fao.org/aos/agrovoc/c_16017,pregnancy,http://aims.fao.org/aos/agrovoc/c_6166
function testing (diagnosis),http://aims.fao.org/aos/agrovoc/c_16943,testing,http://aims.fao.org/aos/agrovoc/c_7683
herd improvement,http://aims.fao.org/aos/agrovoc/c_d25514a9,improvement,http://aims.fao.org/aos/agrovoc/c_330895
sport fishing,http://aims.fao.org/aos/agrovoc/c_34093,sport,http://aims.fao.org/aos/agrovoc/c_7328
ice fishing,http://aims.fao.org/aos/agrovoc/c_c77ca621,ice,http://aims.fao.org/aos/agrovoc/c_3782
land governance,http://aims.fao.org/aos/agrovoc/c_aca7ac6d,land,http://aims.fao.org/aos/agrovoc/c_4172
fisheries governance,http://aims.fao.org/aos/agrovoc/c_1864f588,fisheries,http://aims.fao.org/aos/agrovoc/c_2934
water governance,http://aims.fao.org/aos/agrovoc/c_cb8ecc1e,water,http://aims.fao.org/aos/agrovoc/c_8309
land administration,http://aims.fao.org/aos/agrovoc/c_9000091,land,http://aims.fao.org/aos/agrovoc/c_4172
land surveying,http://aims.fao.org/aos/agrovoc/c_3f55b7d6,land,http://aims.fao.org/aos/agrovoc/c_4172
electricity supplies,http://aims.fao.org/aos/agrovoc/c_2519,electricity,http://aims.fao.org/aos/agrovoc/c_2518
cutting back,http://aims.fao.org/aos/agrovoc/c_10228,cutting,http://aims.fao.org/aos/agrovoc/c_2046
cutting back,http://aims.fao.org/aos/agrovoc/c_10228,back,http://aims.fao.org/aos/agrovoc/c_762
