nome,uriVella,NovoElemento,uriNiovo
forest fires,http://aims.fao.org/aos/agrovoc/c_3045,fires,http://aims.fao.org/aos/agrovoc/c_2915
livestock injuries,http://aims.fao.org/aos/agrovoc/c_11775,livestock,http://aims.fao.org/aos/agrovoc/c_4397
browsing damage,http://aims.fao.org/aos/agrovoc/c_1119,browsing,http://aims.fao.org/aos/agrovoc/c_1118
browsing damage,http://aims.fao.org/aos/agrovoc/c_1119,damage,http://aims.fao.org/aos/agrovoc/c_26768
hail damage,http://aims.fao.org/aos/agrovoc/c_32475,hail,http://aims.fao.org/aos/agrovoc/c_3469
hail damage,http://aims.fao.org/aos/agrovoc/c_32475,damage,http://aims.fao.org/aos/agrovoc/c_26768
radiation damage,http://aims.fao.org/aos/agrovoc/c_6421,radiation,http://aims.fao.org/aos/agrovoc/c_6422
radiation damage,http://aims.fao.org/aos/agrovoc/c_6421,damage,http://aims.fao.org/aos/agrovoc/c_26768
wind damage,http://aims.fao.org/aos/agrovoc/c_8392,damage,http://aims.fao.org/aos/agrovoc/c_26768
frost damage,http://aims.fao.org/aos/agrovoc/c_3114,frost,http://aims.fao.org/aos/agrovoc/c_3113
frost damage,http://aims.fao.org/aos/agrovoc/c_3114,damage,http://aims.fao.org/aos/agrovoc/c_26768
flood damage,http://aims.fao.org/aos/agrovoc/c_c6636877,damage,http://aims.fao.org/aos/agrovoc/c_26768
international cooperation,http://aims.fao.org/aos/agrovoc/c_16378,cooperation,http://aims.fao.org/aos/agrovoc/c_1855
REDD-plus partnership,http://aims.fao.org/aos/agrovoc/c_1370618424101,REDD-plus,http://aims.fao.org/aos/agrovoc/c_1370618248311
TRAFFIC (wildlife trade monitoring network),http://aims.fao.org/aos/agrovoc/c_1371049701397,wildlife,http://aims.fao.org/aos/agrovoc/c_8389
TRAFFIC (wildlife trade monitoring network),http://aims.fao.org/aos/agrovoc/c_1371049701397,trade,http://aims.fao.org/aos/agrovoc/c_7848
TRAFFIC (wildlife trade monitoring network),http://aims.fao.org/aos/agrovoc/c_1371049701397,monitoring,http://aims.fao.org/aos/agrovoc/c_4911
heat shock,http://aims.fao.org/aos/agrovoc/c_34015,heat,http://aims.fao.org/aos/agrovoc/c_3519
cold shock,http://aims.fao.org/aos/agrovoc/c_36476,cold,http://aims.fao.org/aos/agrovoc/c_1743
livestock overwintering,http://aims.fao.org/aos/agrovoc/c_29041,livestock,http://aims.fao.org/aos/agrovoc/c_4397
fishing mortality,http://aims.fao.org/aos/agrovoc/c_c6774ac5,fishing,http://aims.fao.org/aos/agrovoc/c_26950
livestock mortality,http://aims.fao.org/aos/agrovoc/c_92a58d79,livestock,http://aims.fao.org/aos/agrovoc/c_4397
mass mortality,http://aims.fao.org/aos/agrovoc/c_34f2e89a,mass,http://aims.fao.org/aos/agrovoc/c_4639
fish kill,http://aims.fao.org/aos/agrovoc/c_b204fae4,fish,http://aims.fao.org/aos/agrovoc/c_15903
brain drain,http://aims.fao.org/aos/agrovoc/c_9969eab9,brain,http://aims.fao.org/aos/agrovoc/c_1053
feather pecking,http://aims.fao.org/aos/agrovoc/c_10764,pecking,http://aims.fao.org/aos/agrovoc/c_a1f642b1
sexual abuse,http://aims.fao.org/aos/agrovoc/c_c8b9d31a,abuse,http://aims.fao.org/aos/agrovoc/c_f1b9ed13
drinking habits,http://aims.fao.org/aos/agrovoc/c_2388,habits,http://aims.fao.org/aos/agrovoc/c_11419
grain orientation,http://aims.fao.org/aos/agrovoc/c_09881041,grain,http://aims.fao.org/aos/agrovoc/c_3346
dominance of animals,http://aims.fao.org/aos/agrovoc/c_10435,animals,http://aims.fao.org/aos/agrovoc/c_444
animal migration,http://aims.fao.org/aos/agrovoc/c_32926,migration,http://aims.fao.org/aos/agrovoc/c_4822
spawning migrations,http://aims.fao.org/aos/agrovoc/c_4d1412b7,spawning,http://aims.fao.org/aos/agrovoc/c_14490
feeding migrations,http://aims.fao.org/aos/agrovoc/c_4f188d27,feeding,http://aims.fao.org/aos/agrovoc/c_2838
communication between animals,http://aims.fao.org/aos/agrovoc/c_32647,communication,http://aims.fao.org/aos/agrovoc/c_37866
communication between animals,http://aims.fao.org/aos/agrovoc/c_32647,animals,http://aims.fao.org/aos/agrovoc/c_444
marking behaviour,http://aims.fao.org/aos/agrovoc/c_9349cfad,marking,http://aims.fao.org/aos/agrovoc/c_25756
flight behaviour,http://aims.fao.org/aos/agrovoc/c_01c7b3de,flight,http://aims.fao.org/aos/agrovoc/c_24948
animal navigation,http://aims.fao.org/aos/agrovoc/c_72b03d35,navigation,http://aims.fao.org/aos/agrovoc/c_15908
cleaning behaviour,http://aims.fao.org/aos/agrovoc/c_a1cfa692,cleaning,http://aims.fao.org/aos/agrovoc/c_1661
final consumption,http://aims.fao.org/aos/agrovoc/c_28880,consumption,http://aims.fao.org/aos/agrovoc/c_1827
intermediate consumption,http://aims.fao.org/aos/agrovoc/c_28895,consumption,http://aims.fao.org/aos/agrovoc/c_1827
energy consumption,http://aims.fao.org/aos/agrovoc/c_16121,energy,http://aims.fao.org/aos/agrovoc/c_2565
fish consumption,http://aims.fao.org/aos/agrovoc/c_c7d26ce9,fish,http://aims.fao.org/aos/agrovoc/c_15903
