nome,uriVella,NovoElemento,uriNiovo
project design,http://aims.fao.org/aos/agrovoc/c_26992,projects,http://aims.fao.org/aos/agrovoc/c_330903
landscape design,http://aims.fao.org/aos/agrovoc/c_35175,landscape,http://aims.fao.org/aos/agrovoc/c_4185
clothing design,http://aims.fao.org/aos/agrovoc/c_0559f8c7,clothing,http://aims.fao.org/aos/agrovoc/c_a71a1006
ship design,http://aims.fao.org/aos/agrovoc/c_685dbf1e,ships,http://aims.fao.org/aos/agrovoc/c_7040
towed body design,http://aims.fao.org/aos/agrovoc/c_b6fbd410,bodies,http://aims.fao.org/aos/agrovoc/c_50164
survey design,http://aims.fao.org/aos/agrovoc/c_b55d864a,surveys,http://aims.fao.org/aos/agrovoc/c_7537
frost protection,http://aims.fao.org/aos/agrovoc/c_25709,frost,http://aims.fao.org/aos/agrovoc/c_3113
frost protection,http://aims.fao.org/aos/agrovoc/c_25709,protection,http://aims.fao.org/aos/agrovoc/c_330896
wind protection,http://aims.fao.org/aos/agrovoc/c_8395,winds,http://aims.fao.org/aos/agrovoc/c_8401
wind protection,http://aims.fao.org/aos/agrovoc/c_8395,protection,http://aims.fao.org/aos/agrovoc/c_330896
cloud seeding,http://aims.fao.org/aos/agrovoc/c_9907,clouds,http://aims.fao.org/aos/agrovoc/c_1681
hail control,http://aims.fao.org/aos/agrovoc/c_25154,hail,http://aims.fao.org/aos/agrovoc/c_3469
sex diagnosis,http://aims.fao.org/aos/agrovoc/c_14228,sex,http://aims.fao.org/aos/agrovoc/c_7010
pregnancy diagnosis,http://aims.fao.org/aos/agrovoc/c_16017,pregnancy,http://aims.fao.org/aos/agrovoc/c_6166
disease recognition,http://aims.fao.org/aos/agrovoc/c_3400,diseases,http://aims.fao.org/aos/agrovoc/c_49879
laboratory diagnosis,http://aims.fao.org/aos/agrovoc/c_16438,laboratories,http://aims.fao.org/aos/agrovoc/c_15988
function testing (diagnosis),http://aims.fao.org/aos/agrovoc/c_16943,testing,http://aims.fao.org/aos/agrovoc/c_7683
animal domestication,http://aims.fao.org/aos/agrovoc/c_36517,animals,http://aims.fao.org/aos/agrovoc/c_444
plant domestication,http://aims.fao.org/aos/agrovoc/c_36518,plants,http://aims.fao.org/aos/agrovoc/c_5993
animal breeding,http://aims.fao.org/aos/agrovoc/c_423,animals,http://aims.fao.org/aos/agrovoc/c_444
herd improvement,http://aims.fao.org/aos/agrovoc/c_d25514a9,herds,http://aims.fao.org/aos/agrovoc/c_3569
herd improvement,http://aims.fao.org/aos/agrovoc/c_d25514a9,improvement,http://aims.fao.org/aos/agrovoc/c_330895
plant breeding,http://aims.fao.org/aos/agrovoc/c_5956,plants,http://aims.fao.org/aos/agrovoc/c_5993
sport fishing,http://aims.fao.org/aos/agrovoc/c_34093,sport,http://aims.fao.org/aos/agrovoc/c_7328
bait fishing,http://aims.fao.org/aos/agrovoc/c_be3ff8eb,baits,http://aims.fao.org/aos/agrovoc/c_331029
community fishing,http://aims.fao.org/aos/agrovoc/c_1ae90098,communities,http://aims.fao.org/aos/agrovoc/c_50182
ice fishing,http://aims.fao.org/aos/agrovoc/c_c77ca621,ice,http://aims.fao.org/aos/agrovoc/c_3782
land governance,http://aims.fao.org/aos/agrovoc/c_aca7ac6d,land,http://aims.fao.org/aos/agrovoc/c_4172
value chain governance,http://aims.fao.org/aos/agrovoc/c_8a5e09c9,chains,http://aims.fao.org/aos/agrovoc/c_04f04701
fisheries governance,http://aims.fao.org/aos/agrovoc/c_1864f588,fisheries,http://aims.fao.org/aos/agrovoc/c_2934
forest governance,http://aims.fao.org/aos/agrovoc/c_ebd2ddcb,forests,http://aims.fao.org/aos/agrovoc/c_3062
water governance,http://aims.fao.org/aos/agrovoc/c_cb8ecc1e,water,http://aims.fao.org/aos/agrovoc/c_8309
land administration,http://aims.fao.org/aos/agrovoc/c_9000091,land,http://aims.fao.org/aos/agrovoc/c_4172
parcel plan,http://aims.fao.org/aos/agrovoc/c_2ee25bd9,parcels,http://aims.fao.org/aos/agrovoc/c_fdfbb37f
parcel plan,http://aims.fao.org/aos/agrovoc/c_2ee25bd9,plans,http://aims.fao.org/aos/agrovoc/c_330902
cage net maintenance,http://aims.fao.org/aos/agrovoc/c_a8e2315d,cages,http://aims.fao.org/aos/agrovoc/c_1184
spot image,http://aims.fao.org/aos/agrovoc/c_16343,spots,http://aims.fao.org/aos/agrovoc/c_7329
land surveying,http://aims.fao.org/aos/agrovoc/c_3f55b7d6,land,http://aims.fao.org/aos/agrovoc/c_4172
acoustic insulation,http://aims.fao.org/aos/agrovoc/c_63e27343,acoustics,http://aims.fao.org/aos/agrovoc/c_49911
electricity supplies,http://aims.fao.org/aos/agrovoc/c_2519,electricity,http://aims.fao.org/aos/agrovoc/c_2518
electricity supplies,http://aims.fao.org/aos/agrovoc/c_2519,supply,http://aims.fao.org/aos/agrovoc/c_7523
cutting back,http://aims.fao.org/aos/agrovoc/c_10228,cutting,http://aims.fao.org/aos/agrovoc/c_2046
cutting back,http://aims.fao.org/aos/agrovoc/c_10228,back,http://aims.fao.org/aos/agrovoc/c_762
primary conversion of wood,http://aims.fao.org/aos/agrovoc/c_28122,wood,http://aims.fao.org/aos/agrovoc/c_8421
slash disposal,http://aims.fao.org/aos/agrovoc/c_28151,slash,http://aims.fao.org/aos/agrovoc/c_28152
forest products derivation,http://aims.fao.org/aos/agrovoc/c_1374060173297,forests,http://aims.fao.org/aos/agrovoc/c_3062
grub felling,http://aims.fao.org/aos/agrovoc/c_28091,grubs,http://aims.fao.org/aos/agrovoc/c_11380
improvement felling,http://aims.fao.org/aos/agrovoc/c_28096,improvement,http://aims.fao.org/aos/agrovoc/c_330895
regeneration felling,http://aims.fao.org/aos/agrovoc/c_33059,regeneration,http://aims.fao.org/aos/agrovoc/c_6486
long length logging,http://aims.fao.org/aos/agrovoc/c_28105,length,http://aims.fao.org/aos/agrovoc/c_4260
tree length logging,http://aims.fao.org/aos/agrovoc/c_28178,trees,http://aims.fao.org/aos/agrovoc/c_7887
tree length logging,http://aims.fao.org/aos/agrovoc/c_28178,length,http://aims.fao.org/aos/agrovoc/c_4260
whole tree logging,http://aims.fao.org/aos/agrovoc/c_28187,trees,http://aims.fao.org/aos/agrovoc/c_7887
back calculation,http://aims.fao.org/aos/agrovoc/c_976dfd3e,back,http://aims.fao.org/aos/agrovoc/c_762
cost accounting,http://aims.fao.org/aos/agrovoc/c_10128,costs,http://aims.fao.org/aos/agrovoc/c_1922
farm accounting,http://aims.fao.org/aos/agrovoc/c_361e4360,farms,http://aims.fao.org/aos/agrovoc/c_2809
land valuation,http://aims.fao.org/aos/agrovoc/c_72dd6860,land,http://aims.fao.org/aos/agrovoc/c_4172
child care,http://aims.fao.org/aos/agrovoc/c_1544,children,http://aims.fao.org/aos/agrovoc/c_1547
health services,http://aims.fao.org/aos/agrovoc/c_3513,health,http://aims.fao.org/aos/agrovoc/c_3511
health insurance,http://aims.fao.org/aos/agrovoc/c_7053,health,http://aims.fao.org/aos/agrovoc/c_3511
accident benefits,http://aims.fao.org/aos/agrovoc/c_59,accidents,http://aims.fao.org/aos/agrovoc/c_4121d8d0
family allowances,http://aims.fao.org/aos/agrovoc/c_2786,families,http://aims.fao.org/aos/agrovoc/c_2785
unemployment insurance,http://aims.fao.org/aos/agrovoc/c_8062,unemployment,http://aims.fao.org/aos/agrovoc/c_8061
social protection,http://aims.fao.org/aos/agrovoc/c_89ba3619,protection,http://aims.fao.org/aos/agrovoc/c_330896
social safety nets,http://aims.fao.org/aos/agrovoc/c_a2c7f0be,safety,http://aims.fao.org/aos/agrovoc/c_6732
food assistance,http://aims.fao.org/aos/agrovoc/c_6d01f6e9,foods,http://aims.fao.org/aos/agrovoc/c_3032
field days,http://aims.fao.org/aos/agrovoc/c_04e576bf,fields,http://aims.fao.org/aos/agrovoc/c_2894
storm tide warning services,http://aims.fao.org/aos/agrovoc/c_77b3c9d7,storms,http://aims.fao.org/aos/agrovoc/c_7436
storm tide warning services,http://aims.fao.org/aos/agrovoc/c_77b3c9d7,tides,http://aims.fao.org/aos/agrovoc/c_7764
cooperative services,http://aims.fao.org/aos/agrovoc/c_1862,cooperatives,http://aims.fao.org/aos/agrovoc/c_10090
farm helper services,http://aims.fao.org/aos/agrovoc/c_2796,farms,http://aims.fao.org/aos/agrovoc/c_2809
forest service,http://aims.fao.org/aos/agrovoc/c_df2e5b9a,forests,http://aims.fao.org/aos/agrovoc/c_3062
government procurement,http://aims.fao.org/aos/agrovoc/c_330771,government,http://aims.fao.org/aos/agrovoc/c_11230
food service,http://aims.fao.org/aos/agrovoc/c_10968,foods,http://aims.fao.org/aos/agrovoc/c_3032
watershed services,http://aims.fao.org/aos/agrovoc/c_331596,watersheds,http://aims.fao.org/aos/agrovoc/c_8334
ecosystem services,http://aims.fao.org/aos/agrovoc/c_1348040570280,ecosystems,http://aims.fao.org/aos/agrovoc/c_2482
information services,http://aims.fao.org/aos/agrovoc/c_3865,information,http://aims.fao.org/aos/agrovoc/c_330966
market information services,http://aims.fao.org/aos/agrovoc/c_36525,markets,http://aims.fao.org/aos/agrovoc/c_4626
market research,http://aims.fao.org/aos/agrovoc/c_4618,markets,http://aims.fao.org/aos/agrovoc/c_4626
market research,http://aims.fao.org/aos/agrovoc/c_4618,research,http://aims.fao.org/aos/agrovoc/c_6513
diffusion of information,http://aims.fao.org/aos/agrovoc/c_3860,diffusion,http://aims.fao.org/aos/agrovoc/c_24936
