nome,uriVella,NovoElemento,uriNiovo
paper chromatography,http://aims.fao.org/aos/agrovoc/c_13089,paper,http://aims.fao.org/aos/agrovoc/c_5548
polyacrylamide gel electrophoresis,http://aims.fao.org/aos/agrovoc/c_34078,polyacrylamide,http://aims.fao.org/aos/agrovoc/c_28505
thermal analysis,http://aims.fao.org/aos/agrovoc/c_7717,analysis,http://aims.fao.org/aos/agrovoc/c_49928
mass spectrometry,http://aims.fao.org/aos/agrovoc/c_12421,mass,http://aims.fao.org/aos/agrovoc/c_4639
atomic absorption spectrometry,http://aims.fao.org/aos/agrovoc/c_28567,absorption,http://aims.fao.org/aos/agrovoc/c_27
infrared spectrophotometry,http://aims.fao.org/aos/agrovoc/c_28568,spectrophotometry,http://aims.fao.org/aos/agrovoc/c_14497
ultraviolet spectrophotometry,http://aims.fao.org/aos/agrovoc/c_28569,spectrophotometry,http://aims.fao.org/aos/agrovoc/c_14497
chemiluminescence method,http://aims.fao.org/aos/agrovoc/c_35049,chemiluminescence,http://aims.fao.org/aos/agrovoc/c_3b5ab880
fluorescence emission spectroscopy,http://aims.fao.org/aos/agrovoc/c_35050,fluorescence,http://aims.fao.org/aos/agrovoc/c_10935
fluorescence emission spectroscopy,http://aims.fao.org/aos/agrovoc/c_35050,emission,http://aims.fao.org/aos/agrovoc/c_331377
organoleptic analysis,http://aims.fao.org/aos/agrovoc/c_16006,analysis,http://aims.fao.org/aos/agrovoc/c_49928
enzymatic analysis,http://aims.fao.org/aos/agrovoc/c_26867,analysis,http://aims.fao.org/aos/agrovoc/c_49928
isotope analysis,http://aims.fao.org/aos/agrovoc/c_28238,analysis,http://aims.fao.org/aos/agrovoc/c_49928
neutron activation analysis,http://aims.fao.org/aos/agrovoc/c_28239,analysis,http://aims.fao.org/aos/agrovoc/c_49928
quantitative analysis,http://aims.fao.org/aos/agrovoc/c_32660,analysis,http://aims.fao.org/aos/agrovoc/c_49928
qualitative analysis,http://aims.fao.org/aos/agrovoc/c_35284,analysis,http://aims.fao.org/aos/agrovoc/c_49928
core analysis,http://aims.fao.org/aos/agrovoc/c_3bcb2967,analysis,http://aims.fao.org/aos/agrovoc/c_49928
spatial analysis,http://aims.fao.org/aos/agrovoc/c_40da9d3b,analysis,http://aims.fao.org/aos/agrovoc/c_49928
chemical analysis,http://aims.fao.org/aos/agrovoc/c_f5fd1a6c,analysis,http://aims.fao.org/aos/agrovoc/c_49928
