buscado,resultado,tempo
legumes production,crop production,2.29
feed legumes production,fodder conservation,2.42
grain legumes production,crop production,2.15
broad beans production,field preparation,2.23
lima beans production,crop production,2.51
pigeon peas production,crop production,2.28
vegetable legumes production,crop production,2.21
groundnuts production,crop production,2.27
tropical legumes production,crop production,2.34
grain crops production,crop production,2.37
cereal crops production,crop production,2.31
stimulant crops production,crop production,2.41
shade plants production,crop production,2.42
shade trees production,pruning,2.3
spice crops production,crop production,2.32
bee plants production,honey production,2.25
calabash crops production,crop production,2.26
cash crops production,crop production,2.41
cover plants production,crop production,2.5
protective plants production,crop production,2.25
erosion control plants production,soil breaking,2.32
root crops production,root pruning,2.18
food crops production,food production,2.31
fruit crops production,defruiting,2.19
grapevines production,defruiting,2.3
berry crops production,defruiting,2.16
fruit trees production,defruiting,2.32
sugar crops production,food production,2.44
sugar palms production,food production,2.2
beverage crops production,food production,2.72
vegetable crops production,food production,2.36
cole crops production,food production,2.1
pole beans production,food production,2.11
bush beans production,food production,2.11
hedging plants production,crop production,2.13
industrial crops production,crop production,2.13
oil crops production,oil production,2.11
safflower production,oil and gas production,2.14
oil palms production,oil production,2.13
sunflowers production,oil and gas production,2.15
dye plants production,crop production,2.23
fibre crops production,crop production,2.09
wax plants production,crop production,2.15
fuel crops production,crop production,2.25
pesticide crops production,crop production,2.12
essential oil crops production,crop production,2.11
structural crops production,crop production,2.11
medicinal plants production,crop production,2.17
antibacterial plants production,crop production,2.11
antifungal plants production,crop production,2.1
antiviral plants production,crop production,2.16
gum plants production,resin tapping,2.12
tan plants production,crop production,2.13
rubber crops production,crop production,2.12
bioenergy crops production,crop production,2.15
revegetation plants production,crop production,2.26
rootstock crops production,crop production,2.18
salad crops production,crop production,2.18
seed crops production,seed stratification,2.13
soil reclamation plants production,crop production,2.16
browse plants production,fodder conservation,2.13
herbage crops production,crop production,2.13
field crops production,field preparation,2.12
plantation crops production,crop production,2.14
winter crops production,oversowing,2.14
spring crops production,crop production,2.22
companion crops production,crop production,2.15
grass clover production,crop production,2.13
lucerne grass production,crop production,2.14
catch crops production,stubble tillage,2.12
summer catch crops production,stubble cleaning,2.18
winter catch crops production,oversowing,2.13
tree crops production,pruning,2.16
tropical crops production,crop production,2.12
mother plants production,crop production,2.34
autochthonous crops production,crop production,2.16
feed crops production,feed production,2.16
sorghum production,feed production,2.12
broom sorghum production,feed production,2.14
sweet sorghum production,feed production,2.17
grain sorghum production,feed production,2.11
forage sorghum production,fodder conservation,2.15
upland crops production,crop production,2.09
trap crops production,crop production,2.14
protein plants production,crop production,2.1
greenhouse crops production,crop production,2.12
pot plants production,pot planting,2.13
starch crops production,crop production,2.11
nut crops production,crop production,2.11
prohibited crops production,crop production,2.11
useful plants production,crop production,2.16
