buscado,resultado,tempo
aquatic invertebrates agriculture,restraint of animals,3.86
freshwater invertebrates agriculture,freshwater aquaculture,2.33
brackishwater invertebrates agriculture,restraint of animals,2.15
marine invertebrates agriculture,restraint of animals,2.14
Invertebrata aquatica miscell. agriculture,restraint of animals,2.24
macroinvertebrates agriculture,restraint of animals,2.16
jellyfishes agriculture,restraint of animals,2.38
microinvertebrates agriculture,restraint of animals,2.31
crustaceans agriculture,crustacean culture,2.26
aquatic crustaceans agriculture,crustacean culture,2.27
freshwater crustaceans agriculture,freshwater aquaculture,2.25
freshwater prawns and shrimps agriculture,freshwater aquaculture,2.34
brackishwater crustaceans agriculture,crustacean culture,2.22
marine crustaceans agriculture,crustacean culture,2.21
insects agriculture,insect farming,2.62
midges agriculture,insect farming,2.37
locusts agriculture,insect farming,2.14
desert locusts agriculture,insect farming,2.38
honey bees agriculture,apiculture,2.2
bee broods agriculture,apiculture,2.34
drones (insects) agriculture,apiculture,2.25
queen bees agriculture,apiculture,2.35
worker bees agriculture,apiculture,2.34
Africanized bees agriculture,apiculture,2.23
fall armyworms agriculture,insect farming,2.31
ants agriculture,insect farming,2.19
spiders agriculture,restraint of animals,2.26
scorpions agriculture,restraint of animals,2.25
mites agriculture,restraint of animals,2.14
nematodes agriculture,restraint of animals,2.25
leeches agriculture,restraint of animals,2.17
ribbon worms agriculture,restraint of animals,2.25
flatworms agriculture,restraint of animals,2.35
arrow worms agriculture,restraint of animals,2.28
centipedes agriculture,restraint of animals,2.21
millipedes agriculture,restraint of animals,2.27
