buscado,resultado,tempo
meat animals housing,livestock boxes,2.76
beef cattle housing,cattle sheds,2.34
ornamental fishes housing,animal housing,2.18
pet animals housing,animal housing,2.49
ornamental birds housing,aviaries,2.33
songbirds housing,aviaries,2.51
plumage birds housing,aviaries,2.44
zoo animals housing,animal housing,2.41
domestic animals housing,animal housing,2.25
poultry housing,poultry housing,2.26
geese housing,aviaries,2.32
ganders housing,aviaries,2.44
goslings housing,aviaries,2.34
chickens housing,aviaries,2.29
capons housing,animal housing,2.23
cocks housing,animal housing,2.21
chicks housing,aviaries,2.33
broiler chickens housing,aviaries,2.4
cockerels housing,animal housing,2.23
hens housing,animal housing,2.19
layer chickens housing,aviaries,2.25
pullets housing,aviaries,2.28
layer breeders housing,aviaries,2.35
broiler breeders housing,aviaries,2.41
guinea fowl housing,aviaries,2.21
quails housing,aviaries,2.26
turkeys housing,aviaries,2.27
turkey poults housing,aviaries,2.49
ducks housing,aviaries,2.36
drakes housing,aviaries,2.28
ducklings housing,aviaries,2.19
Muscovy ducks housing,aviaries,2.31
working animals housing,livestock boxes,2.32
draught animals housing,livestock boxes,2.28
pack animals housing,livestock boxes,2.25
livestock housing,livestock boxes,2.18
cattle housing,cattle sheds,2.21
bullocks housing,cattle sheds,2.39
bulls housing,cattle sheds,2.36
heifers housing,cattle sheds,2.46
dairy cattle housing,cattle sheds,2.29
dairy cows housing,cattle sheds,2.28
zebu housing,livestock boxes,2.34
banteng housing,cattle sheds,2.21
calves housing,calf housing,2.25
cows housing,cattle sheds,2.33
suckler cows housing,cattle sheds,2.38
yearling bulls housing,cattle sheds,2.34
gaurs housing,livestock boxes,2.38
yaks housing,livestock boxes,2.31
goats housing,goat houses,2.19
billygoats housing,goat houses,2.2
kids housing,goat houses,2.26
nannygoats housing,goat houses,2.18
doelings housing,goat houses,2.36
female yearling (goat) housing,goat houses,2.17
male yearling (goat) housing,goat houses,2.18
dairy goats housing,goat houses,2.16
fibre goats housing,goat houses,2.24
llamas housing,livestock boxes,2.34
sheep housing,sheep housing,2.44
ewes housing,sheep housing,2.31
lambs housing,sheep housing,2.41
hoggets housing,sheep housing,2.42
rams housing,sheep housing,2.27
wethers housing,sheep housing,2.27
ewe hoggs housing,sheep housing,2.24
gimmers housing,sheep housing,2.21
dairy sheep housing,sheep housing,2.43
donkeys housing,livestock boxes,2.2
hinnies housing,livestock boxes,2.21
mules housing,livestock boxes,2.22
domestic buffaloes housing,livestock boxes,2.19
water buffaloes housing,livestock boxes,2.27
camels housing,livestock boxes,2.4
dromedaries housing,livestock boxes,2.35
Bactrian camels housing,livestock boxes,2.2
swine housing,piggeries,2.27
piglets housing,piggeries,2.29
suckling piglets housing,piggeries,2.37
weaners housing,piggeries,2.4
boars housing,piggeries,2.33
barrows housing,piggeries,2.4
sows housing,piggeries,2.27
gilts housing,piggeries,2.37
dry sows housing,piggeries,2.26
farrowing sows housing,farrowing crates,2.31
miniature pigs housing,piggeries,2.26
fattening pigs housing,piggeries,2.36
horses housing,stables,2.34
fillies housing,stables,2.25
racehorses housing,stables,2.39
saddle horses housing,stables,2.39
draught horses housing,stables,2.33
mares housing,stables,2.41
geldings housing,stables,2.33
stallions housing,stables,2.22
ponies housing,stables,2.17
colts housing,stables,2.12
yearling (horse) housing,stables,2.4
foals housing,stables,2.38
milk yielding animals housing,livestock boxes,2.34
furbearing animals housing,animal housing,2.51
skin producing animals housing,animal housing,2.32
oil producing animals housing,animal housing,2.24
performing animals housing,animal housing,2.43
pollinators housing,animal housing,2.19
useful arthropods housing,animal housing,2.26
biological control arthropods housing,animal housing,2.24
useful insects housing,animal housing,2.29
Lac insects housing,animal housing,2.46
silkworms housing,animal housing,2.2
dung beetles housing,animal housing,2.36
insects as food housing,animal housing,2.2
ornamental insects housing,animal housing,2.32
medicinal insects housing,animal housing,2.49
wool producing animals housing,animal housing,2.31
breeding stock housing,animal housing,2.29
laboratory animals housing,animal housing,2.29
gnotobiotic animals housing,animal housing,2.19
laboratory mammals housing,animal housing,2.23
recipient animals housing,animal housing,2.18
donor animals housing,animal housing,2.49
