nome,uriVella,NovoElemento,uriNiovo
fodder legumes,http://aims.fao.org/aos/agrovoc/c_2834,forage,http://aims.fao.org/aos/agrovoc/c_36108
forage legumes,http://aims.fao.org/aos/agrovoc/c_2834,forage,http://aims.fao.org/aos/agrovoc/c_36108
grain legumes,http://aims.fao.org/aos/agrovoc/c_3351,grain,http://aims.fao.org/aos/agrovoc/c_3346
broad beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
faba beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
tick beans,http://aims.fao.org/aos/agrovoc/c_10722,Metastigmata,http://aims.fao.org/aos/agrovoc/c_7763
tick beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
fava beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
field bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,fields,http://aims.fao.org/aos/agrovoc/c_2894
field bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
field bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,Vicia,http://aims.fao.org/aos/agrovoc/c_8214
horse bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,horses,http://aims.fao.org/aos/agrovoc/c_3668
horse bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
horse bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,Vicia,http://aims.fao.org/aos/agrovoc/c_8214
lima beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
burma beans,http://aims.fao.org/aos/agrovoc/c_12180,Myanmar,http://aims.fao.org/aos/agrovoc/c_1155
burma beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
butter beans,http://aims.fao.org/aos/agrovoc/c_12180,butter,http://aims.fao.org/aos/agrovoc/c_1162
butter beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
civet beans,http://aims.fao.org/aos/agrovoc/c_12180,civets,http://aims.fao.org/aos/agrovoc/c_15671
civet beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
curry beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
Madagascar beans,http://aims.fao.org/aos/agrovoc/c_12180,Madagascar,http://aims.fao.org/aos/agrovoc/c_4510
Madagascar beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
sieva beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
pigeon peas,http://aims.fao.org/aos/agrovoc/c_13356,pigeons,http://aims.fao.org/aos/agrovoc/c_5870
pigeon peas,http://aims.fao.org/aos/agrovoc/c_13356,peas,http://aims.fao.org/aos/agrovoc/c_13177
Congo beans,http://aims.fao.org/aos/agrovoc/c_13356,Congo,http://aims.fao.org/aos/agrovoc/c_1811
Congo beans,http://aims.fao.org/aos/agrovoc/c_13356,beans,http://aims.fao.org/aos/agrovoc/c_331566
Congo peas,http://aims.fao.org/aos/agrovoc/c_13356,Congo,http://aims.fao.org/aos/agrovoc/c_1811
Congo peas,http://aims.fao.org/aos/agrovoc/c_13356,peas,http://aims.fao.org/aos/agrovoc/c_13177
noneye pea,http://aims.fao.org/aos/agrovoc/c_13356,peas,http://aims.fao.org/aos/agrovoc/c_13177
vegetable legumes,http://aims.fao.org/aos/agrovoc/c_8169,vegetables,http://aims.fao.org/aos/agrovoc/c_8174
grain crops,http://aims.fao.org/aos/agrovoc/c_3348,grain,http://aims.fao.org/aos/agrovoc/c_3346
cereal crops,http://aims.fao.org/aos/agrovoc/c_25512,cereals,http://aims.fao.org/aos/agrovoc/c_1474
grain grasses,http://aims.fao.org/aos/agrovoc/c_25512,grain,http://aims.fao.org/aos/agrovoc/c_3346
grain grasses,http://aims.fao.org/aos/agrovoc/c_25512,grasses,http://aims.fao.org/aos/agrovoc/c_3362
small grain cereals (plant),http://aims.fao.org/aos/agrovoc/c_25512,grain,http://aims.fao.org/aos/agrovoc/c_3346
small grain cereals (plant),http://aims.fao.org/aos/agrovoc/c_25512,cereals,http://aims.fao.org/aos/agrovoc/c_1474
stimulant crops,http://aims.fao.org/aos/agrovoc/c_7413,stimulants,http://aims.fao.org/aos/agrovoc/c_7414
shade plants,http://aims.fao.org/aos/agrovoc/c_7019,shade,http://aims.fao.org/aos/agrovoc/c_14232
shade trees,http://aims.fao.org/aos/agrovoc/c_25548,shade,http://aims.fao.org/aos/agrovoc/c_14232
shade trees,http://aims.fao.org/aos/agrovoc/c_25548,trees,http://aims.fao.org/aos/agrovoc/c_7887
spice crops,http://aims.fao.org/aos/agrovoc/c_7299,spices,http://aims.fao.org/aos/agrovoc/c_15685
flavouring crops (spices),http://aims.fao.org/aos/agrovoc/c_7299,flavouring,http://aims.fao.org/aos/agrovoc/c_2967
bee plants,http://aims.fao.org/aos/agrovoc/c_860,Apidae,http://aims.fao.org/aos/agrovoc/c_865
honey plants,http://aims.fao.org/aos/agrovoc/c_860,honey,http://aims.fao.org/aos/agrovoc/c_3652
nectar plants,http://aims.fao.org/aos/agrovoc/c_860,nectar,http://aims.fao.org/aos/agrovoc/c_5098
erosion control plants,http://aims.fao.org/aos/agrovoc/c_2653,erosion control,http://aims.fao.org/aos/agrovoc/c_2652
soil stabilizing plants,http://aims.fao.org/aos/agrovoc/c_2653,soil,http://aims.fao.org/aos/agrovoc/c_7156
root crops,http://aims.fao.org/aos/agrovoc/c_6641,roots,http://aims.fao.org/aos/agrovoc/c_6651
food crops,http://aims.fao.org/aos/agrovoc/c_3017,foods,http://aims.fao.org/aos/agrovoc/c_3032
fruit crops,http://aims.fao.org/aos/agrovoc/c_3120,fruits,http://aims.fao.org/aos/agrovoc/c_3131
orchard crops,http://aims.fao.org/aos/agrovoc/c_3120,orchards,http://aims.fao.org/aos/agrovoc/c_5379
grape vines,http://aims.fao.org/aos/agrovoc/c_3360,grapes,http://aims.fao.org/aos/agrovoc/c_3359
