nome,uriVella,NovoElemento,uriNiovo
product development,http://aims.fao.org/aos/agrovoc/c_16018,products,http://aims.fao.org/aos/agrovoc/c_6211
product development,http://aims.fao.org/aos/agrovoc/c_16018,development,http://aims.fao.org/aos/agrovoc/c_331049
farm closures,http://aims.fao.org/aos/agrovoc/c_2795,farms,http://aims.fao.org/aos/agrovoc/c_2809
farm closures,http://aims.fao.org/aos/agrovoc/c_2795,closures,http://aims.fao.org/aos/agrovoc/c_28373
property transfers,http://aims.fao.org/aos/agrovoc/c_6225,property,http://aims.fao.org/aos/agrovoc/c_13609
property accession,http://aims.fao.org/aos/agrovoc/c_6225,property,http://aims.fao.org/aos/agrovoc/c_13609
capital formation,http://aims.fao.org/aos/agrovoc/c_28644,capital,http://aims.fao.org/aos/agrovoc/c_1271
income generation,http://aims.fao.org/aos/agrovoc/c_9000080,income,http://aims.fao.org/aos/agrovoc/c_3820
land acquisitions,http://aims.fao.org/aos/agrovoc/c_89d3dcbb,land,http://aims.fao.org/aos/agrovoc/c_4172
capital leasing,http://aims.fao.org/aos/agrovoc/c_1272,capital,http://aims.fao.org/aos/agrovoc/c_1271
