nome,uriVella,NovoElemento,uriNiovo
fishing licences,http://aims.fao.org/aos/agrovoc/c_d6c2ab56,fishing,http://aims.fao.org/aos/agrovoc/c_26950
hunting licenses,http://aims.fao.org/aos/agrovoc/c_a490f611,hunting,http://aims.fao.org/aos/agrovoc/c_3697
fishing authorizations,http://aims.fao.org/aos/agrovoc/c_826cc1cd,fishing,http://aims.fao.org/aos/agrovoc/c_26950
aquaculture licenses,http://aims.fao.org/aos/agrovoc/c_55ef98b8,aquaculture,http://aims.fao.org/aos/agrovoc/c_550
fishery policies,http://aims.fao.org/aos/agrovoc/c_2939,fisheries,http://aims.fao.org/aos/agrovoc/c_2934
forestry policies,http://aims.fao.org/aos/agrovoc/c_3060,forestry,http://aims.fao.org/aos/agrovoc/c_3055
logging bans,http://aims.fao.org/aos/agrovoc/c_1373988178180,logging,http://aims.fao.org/aos/agrovoc/c_7775
climate change adaptation,http://aims.fao.org/aos/agrovoc/c_1374567058134,climate,http://aims.fao.org/aos/agrovoc/c_1665
climate change adaptation,http://aims.fao.org/aos/agrovoc/c_1374567058134,adaptation,http://aims.fao.org/aos/agrovoc/c_117
climate change mitigation,http://aims.fao.org/aos/agrovoc/c_1374571087594,climate,http://aims.fao.org/aos/agrovoc/c_1665
climate change mitigation,http://aims.fao.org/aos/agrovoc/c_1374571087594,mitigation,http://aims.fao.org/aos/agrovoc/c_10a6fbd8
emissions trading,http://aims.fao.org/aos/agrovoc/c_1b1e0e70,emission,http://aims.fao.org/aos/agrovoc/c_331377
water charges,http://aims.fao.org/aos/agrovoc/c_7724fa15,water,http://aims.fao.org/aos/agrovoc/c_8309
nature-based solutions,http://aims.fao.org/aos/agrovoc/c_0fafbb81,solutions,http://aims.fao.org/aos/agrovoc/c_28563
food security,http://aims.fao.org/aos/agrovoc/c_10967,foods,http://aims.fao.org/aos/agrovoc/c_3032
household food security,http://aims.fao.org/aos/agrovoc/c_9000078,households,http://aims.fao.org/aos/agrovoc/c_3676
land policies,http://aims.fao.org/aos/agrovoc/c_195,land,http://aims.fao.org/aos/agrovoc/c_4172
agrarian reform,http://aims.fao.org/aos/agrovoc/c_196,reforms,http://aims.fao.org/aos/agrovoc/c_bb4738d4
seed insecurity,http://aims.fao.org/aos/agrovoc/c_1415267986335,seed,http://aims.fao.org/aos/agrovoc/c_6927
