nome,uriVella,NovoElemento,uriNiovo
capital value (land),http://aims.fao.org/aos/agrovoc/c_a9966ac9,capital,http://aims.fao.org/aos/agrovoc/c_1271
capital value (land),http://aims.fao.org/aos/agrovoc/c_a9966ac9,land,http://aims.fao.org/aos/agrovoc/c_4172
atmospheric pressure,http://aims.fao.org/aos/agrovoc/c_693,pressure,http://aims.fao.org/aos/agrovoc/c_6174
gale force winds,http://aims.fao.org/aos/agrovoc/c_8d033cd0,forces,http://aims.fao.org/aos/agrovoc/c_b75b64aa
land breezes,http://aims.fao.org/aos/agrovoc/c_55c93409,land,http://aims.fao.org/aos/agrovoc/c_4172
trade winds,http://aims.fao.org/aos/agrovoc/c_a5fcf062,trade,http://aims.fao.org/aos/agrovoc/c_7848
complement (blood),http://aims.fao.org/aos/agrovoc/c_32650,blood,http://aims.fao.org/aos/agrovoc/c_959
colony stimulating factor,http://aims.fao.org/aos/agrovoc/c_35079,colonies,http://aims.fao.org/aos/agrovoc/c_b3e7e4e4
tumour necrosis factor,http://aims.fao.org/aos/agrovoc/c_35081,necrosis,http://aims.fao.org/aos/agrovoc/c_15509
blood group antigens,http://aims.fao.org/aos/agrovoc/c_9319,blood,http://aims.fao.org/aos/agrovoc/c_959
neoplasm antigens,http://aims.fao.org/aos/agrovoc/c_12794,neoplasms,http://aims.fao.org/aos/agrovoc/c_5122
fish conversion factors,http://aims.fao.org/aos/agrovoc/c_3a6d043c,fish,http://aims.fao.org/aos/agrovoc/c_15903
plankton equivalents,http://aims.fao.org/aos/agrovoc/c_5c19f8c3,plankton,http://aims.fao.org/aos/agrovoc/c_5950
