nome,uriVella,NovoElemento,uriNiovo
soil morphological features,http://aims.fao.org/aos/agrovoc/c_7179,soil,http://aims.fao.org/aos/agrovoc/c_7156
marine areas,http://aims.fao.org/aos/agrovoc/c_4607,area,http://aims.fao.org/aos/agrovoc/c_330588
Arctic Ocean,http://aims.fao.org/aos/agrovoc/c_592,Arctic,http://aims.fao.org/aos/agrovoc/c_36576
Arctic Ocean,http://aims.fao.org/aos/agrovoc/c_592,Oceans,http://aims.fao.org/aos/agrovoc/c_12890
Arctic Sea,http://aims.fao.org/aos/agrovoc/c_592,Arctic,http://aims.fao.org/aos/agrovoc/c_36576
Arctic Sea,http://aims.fao.org/aos/agrovoc/c_592,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Barents Sea,http://aims.fao.org/aos/agrovoc/c_816,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Beaufort Sea,http://aims.fao.org/aos/agrovoc/c_852,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Chukchi Sea,http://aims.fao.org/aos/agrovoc/c_1608,Seas,http://aims.fao.org/aos/agrovoc/c_14148
East Siberian Sea,http://aims.fao.org/aos/agrovoc/c_2445,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Greenland Sea,http://aims.fao.org/aos/agrovoc/c_3382,Greenland,http://aims.fao.org/aos/agrovoc/c_3380
Greenland Sea,http://aims.fao.org/aos/agrovoc/c_3382,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Kara Sea,http://aims.fao.org/aos/agrovoc/c_4077,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Laptev Sea,http://aims.fao.org/aos/agrovoc/c_4192,Seas,http://aims.fao.org/aos/agrovoc/c_14148
coastal waters,http://aims.fao.org/aos/agrovoc/c_25205,water,http://aims.fao.org/aos/agrovoc/c_8309
Antarctic Ocean,http://aims.fao.org/aos/agrovoc/c_468,Antarctic,http://aims.fao.org/aos/agrovoc/c_250c347f
Antarctic Ocean,http://aims.fao.org/aos/agrovoc/c_468,Oceans,http://aims.fao.org/aos/agrovoc/c_12890
Southern Ocean,http://aims.fao.org/aos/agrovoc/c_468,Oceans,http://aims.fao.org/aos/agrovoc/c_12890
Antarctic Atlantic,http://aims.fao.org/aos/agrovoc/c_466,Antarctic,http://aims.fao.org/aos/agrovoc/c_250c347f
Scotia Sea,http://aims.fao.org/aos/agrovoc/c_6879,Agrotis,http://aims.fao.org/aos/agrovoc/c_221
Scotia Sea,http://aims.fao.org/aos/agrovoc/c_6879,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Weddell Sea,http://aims.fao.org/aos/agrovoc/c_8344,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Antarctic Indian Ocean,http://aims.fao.org/aos/agrovoc/c_467,Antarctic,http://aims.fao.org/aos/agrovoc/c_250c347f
Antarctic Pacific,http://aims.fao.org/aos/agrovoc/c_469,Antarctic,http://aims.fao.org/aos/agrovoc/c_250c347f
Amundsen Sea,http://aims.fao.org/aos/agrovoc/c_366,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Atlantic Ocean,http://aims.fao.org/aos/agrovoc/c_689,Oceans,http://aims.fao.org/aos/agrovoc/c_12890
Irish Sea,http://aims.fao.org/aos/agrovoc/c_3949,Seas,http://aims.fao.org/aos/agrovoc/c_14148
North Sea,http://aims.fao.org/aos/agrovoc/c_5226,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Norwegian Sea,http://aims.fao.org/aos/agrovoc/c_5236,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Sargasso Sea,http://aims.fao.org/aos/agrovoc/c_6816,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Caribbean Sea,http://aims.fao.org/aos/agrovoc/c_1321,Caribbean,http://aims.fao.org/aos/agrovoc/c_1320
Caribbean Sea,http://aims.fao.org/aos/agrovoc/c_1321,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Gulf of Venezuela,http://aims.fao.org/aos/agrovoc/c_50111,Venezuela (Bolivarian Republic of),http://aims.fao.org/aos/agrovoc/c_8186
Gulf of Mexico,http://aims.fao.org/aos/agrovoc/c_3436,Mexico,http://aims.fao.org/aos/agrovoc/c_4792
Gulf of Guinea,http://aims.fao.org/aos/agrovoc/c_50098,Guinea,http://aims.fao.org/aos/agrovoc/c_3423
Indian Ocean,http://aims.fao.org/aos/agrovoc/c_3828,Oceans,http://aims.fao.org/aos/agrovoc/c_12890
Tasman Sea,http://aims.fao.org/aos/agrovoc/c_7621,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Timor Sea,http://aims.fao.org/aos/agrovoc/c_7781,Timor,http://aims.fao.org/aos/agrovoc/c_7780
Timor Sea,http://aims.fao.org/aos/agrovoc/c_7781,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Arabian Sea,http://aims.fao.org/aos/agrovoc/c_565,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Gulf of Oman,http://aims.fao.org/aos/agrovoc/c_50102,Oman,http://aims.fao.org/aos/agrovoc/c_5345
Gulf of Aden,http://aims.fao.org/aos/agrovoc/c_3432,Democratic Yemen,http://aims.fao.org/aos/agrovoc/c_2175
Pacific Ocean,http://aims.fao.org/aos/agrovoc/c_5493,Oceans,http://aims.fao.org/aos/agrovoc/c_12890
Arafura Sea,http://aims.fao.org/aos/agrovoc/c_576,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Banda Sea,http://aims.fao.org/aos/agrovoc/c_808,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Coral Sea,http://aims.fao.org/aos/agrovoc/c_1881,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Philippine Sea,http://aims.fao.org/aos/agrovoc/c_5782,Philippines,http://aims.fao.org/aos/agrovoc/c_5783
Philippine Sea,http://aims.fao.org/aos/agrovoc/c_5782,Seas,http://aims.fao.org/aos/agrovoc/c_14148
South China Sea,http://aims.fao.org/aos/agrovoc/c_7258,China,http://aims.fao.org/aos/agrovoc/c_1556
South China Sea,http://aims.fao.org/aos/agrovoc/c_7258,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Gulf of Thailand,http://aims.fao.org/aos/agrovoc/c_50110,Thailand,http://aims.fao.org/aos/agrovoc/c_7701
Celebes Sea,http://aims.fao.org/aos/agrovoc/c_9691,Sulawesi,http://aims.fao.org/aos/agrovoc/c_7508
Celebes Sea,http://aims.fao.org/aos/agrovoc/c_9691,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Sulawesi Sea,http://aims.fao.org/aos/agrovoc/c_9691,Sulawesi,http://aims.fao.org/aos/agrovoc/c_7508
Sulawesi Sea,http://aims.fao.org/aos/agrovoc/c_9691,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Molucca Sea,http://aims.fao.org/aos/agrovoc/c_31860,Maluku,http://aims.fao.org/aos/agrovoc/c_4552
Molucca Sea,http://aims.fao.org/aos/agrovoc/c_31860,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Bering Sea,http://aims.fao.org/aos/agrovoc/c_883,Seas,http://aims.fao.org/aos/agrovoc/c_14148
Gulf of Alaska,http://aims.fao.org/aos/agrovoc/c_3433,Alaska,http://aims.fao.org/aos/agrovoc/c_240
