nome,uriVella,NovoElemento,uriNiovo
plant growth substances,http://aims.fao.org/aos/agrovoc/c_5968,plants,http://aims.fao.org/aos/agrovoc/c_5993
gibberellic acid,http://aims.fao.org/aos/agrovoc/c_3160,acids,http://aims.fao.org/aos/agrovoc/c_92
naphthenic acid,http://aims.fao.org/aos/agrovoc/c_5069,acids,http://aims.fao.org/aos/agrovoc/c_92
naphthoxyacetic acid,http://aims.fao.org/aos/agrovoc/c_5070,acids,http://aims.fao.org/aos/agrovoc/c_92
dormancy breakers,http://aims.fao.org/aos/agrovoc/c_2370,dormancy,http://aims.fao.org/aos/agrovoc/c_2369
dormancy breakers,http://aims.fao.org/aos/agrovoc/c_2370,breakers,http://aims.fao.org/aos/agrovoc/c_219f2732
germination inhibitors,http://aims.fao.org/aos/agrovoc/c_3248,germination,http://aims.fao.org/aos/agrovoc/c_3247
rooting compounds,http://aims.fao.org/aos/agrovoc/c_13956,rooting,http://aims.fao.org/aos/agrovoc/c_6649
animal growth promoters,http://aims.fao.org/aos/agrovoc/c_3398,animals,http://aims.fao.org/aos/agrovoc/c_444
juvenile hormone analogues,http://aims.fao.org/aos/agrovoc/c_25144,juvenile hormones,http://aims.fao.org/aos/agrovoc/c_16188
chitin synthesis inhibitors,http://aims.fao.org/aos/agrovoc/c_35054,chitin,http://aims.fao.org/aos/agrovoc/c_1561
chitin synthesis inhibitors,http://aims.fao.org/aos/agrovoc/c_35054,synthesis,http://aims.fao.org/aos/agrovoc/c_3def4163
