nome,uriVella,NovoElemento,uriNiovo
freshwater invertebrates,http://aims.fao.org/aos/agrovoc/c_4e078478,freshwater,http://aims.fao.org/aos/agrovoc/c_3102
Invertebrata aquatica miscell.,http://aims.fao.org/aos/agrovoc/c_49448,aquatic invertebrates,http://aims.fao.org/aos/agrovoc/c_49195
freshwater crustaceans,http://aims.fao.org/aos/agrovoc/c_33491,freshwater,http://aims.fao.org/aos/agrovoc/c_3102
freshwater prawns and shrimps,http://aims.fao.org/aos/agrovoc/c_33493,freshwater,http://aims.fao.org/aos/agrovoc/c_3102
desert locusts,http://aims.fao.org/aos/agrovoc/c_9437f18a,deserts,http://aims.fao.org/aos/agrovoc/c_2205
honey bees,http://aims.fao.org/aos/agrovoc/c_3654,honey,http://aims.fao.org/aos/agrovoc/c_3652
honey bees,http://aims.fao.org/aos/agrovoc/c_3654,Apidae,http://aims.fao.org/aos/agrovoc/c_865
bee broods,http://aims.fao.org/aos/agrovoc/c_856,Apidae,http://aims.fao.org/aos/agrovoc/c_865
bee larvae,http://aims.fao.org/aos/agrovoc/c_856,Apidae,http://aims.fao.org/aos/agrovoc/c_865
bee larvae,http://aims.fao.org/aos/agrovoc/c_856,larvae,http://aims.fao.org/aos/agrovoc/c_4204
male bees,http://aims.fao.org/aos/agrovoc/c_2389,males,http://aims.fao.org/aos/agrovoc/c_15995
male bees,http://aims.fao.org/aos/agrovoc/c_2389,Apidae,http://aims.fao.org/aos/agrovoc/c_865
queen bees,http://aims.fao.org/aos/agrovoc/c_6405,Apidae,http://aims.fao.org/aos/agrovoc/c_865
worker bees,http://aims.fao.org/aos/agrovoc/c_8444,workers,http://aims.fao.org/aos/agrovoc/c_8445
worker bees,http://aims.fao.org/aos/agrovoc/c_8444,Apidae,http://aims.fao.org/aos/agrovoc/c_865
workers (bees),http://aims.fao.org/aos/agrovoc/c_8444,workers,http://aims.fao.org/aos/agrovoc/c_8445
workers (bees),http://aims.fao.org/aos/agrovoc/c_8444,Apidae,http://aims.fao.org/aos/agrovoc/c_865
Africanized bees,http://aims.fao.org/aos/agrovoc/c_32628,Apidae,http://aims.fao.org/aos/agrovoc/c_865
fall armyworms,http://aims.fao.org/aos/agrovoc/c_e6b223d7,autumn,http://aims.fao.org/aos/agrovoc/c_724
workers (ants),http://aims.fao.org/aos/agrovoc/c_f12be62f,workers,http://aims.fao.org/aos/agrovoc/c_8445
