nome,uriVella,NovoElemento,uriNiovo
fishing gear marking,http://aims.fao.org/aos/agrovoc/c_c9e65477,fishing,http://aims.fao.org/aos/agrovoc/c_26950
fishing vessel marking,http://aims.fao.org/aos/agrovoc/c_68626e5b,fishing,http://aims.fao.org/aos/agrovoc/c_26950
animal marking,http://aims.fao.org/aos/agrovoc/c_cc7b7bd9,animals,http://aims.fao.org/aos/agrovoc/c_444
low volume spraying,http://aims.fao.org/aos/agrovoc/c_25793,volume,http://aims.fao.org/aos/agrovoc/c_8288
tree injection,http://aims.fao.org/aos/agrovoc/c_7885,trees,http://aims.fao.org/aos/agrovoc/c_7887
seed inoculation,http://aims.fao.org/aos/agrovoc/c_14170,seed,http://aims.fao.org/aos/agrovoc/c_6927
soil inoculation,http://aims.fao.org/aos/agrovoc/c_14396,soil,http://aims.fao.org/aos/agrovoc/c_7156
root inoculation,http://aims.fao.org/aos/agrovoc/c_35955,roots,http://aims.fao.org/aos/agrovoc/c_6651
root treatment,http://aims.fao.org/aos/agrovoc/c_6646,roots,http://aims.fao.org/aos/agrovoc/c_6651
oral administration,http://aims.fao.org/aos/agrovoc/c_36803,administration,http://aims.fao.org/aos/agrovoc/c_130
drug delivery systems,http://aims.fao.org/aos/agrovoc/c_f502db89,drugs,http://aims.fao.org/aos/agrovoc/c_2395
convergent improvement,http://aims.fao.org/aos/agrovoc/c_1847,improvement,http://aims.fao.org/aos/agrovoc/c_330895
choice of species,http://aims.fao.org/aos/agrovoc/c_33964,species,http://aims.fao.org/aos/agrovoc/c_7280
variety choice,http://aims.fao.org/aos/agrovoc/c_36085,varieties,http://aims.fao.org/aos/agrovoc/c_8157
mass selection,http://aims.fao.org/aos/agrovoc/c_36569,mass,http://aims.fao.org/aos/agrovoc/c_4639
individual selection,http://aims.fao.org/aos/agrovoc/c_36570,individuals,http://aims.fao.org/aos/agrovoc/c_49823
heterosis breeding,http://aims.fao.org/aos/agrovoc/c_34295,heterosis,http://aims.fao.org/aos/agrovoc/c_3705
mutation breeding,http://aims.fao.org/aos/agrovoc/c_35675,mutation,http://aims.fao.org/aos/agrovoc/c_5014
gene pyramiding,http://aims.fao.org/aos/agrovoc/c_cdd90aca,genes,http://aims.fao.org/aos/agrovoc/c_3214
speed breeding,http://aims.fao.org/aos/agrovoc/c_681a7f51,speed,http://aims.fao.org/aos/agrovoc/c_24248
gas chromatography,http://aims.fao.org/aos/agrovoc/c_11097,gases,http://aims.fao.org/aos/agrovoc/c_3197
paper chromatography,http://aims.fao.org/aos/agrovoc/c_13089,paper,http://aims.fao.org/aos/agrovoc/c_5548
thin layer chromatography,http://aims.fao.org/aos/agrovoc/c_14858,layers,http://aims.fao.org/aos/agrovoc/c_f851fe26
ion exchange chromatography,http://aims.fao.org/aos/agrovoc/c_28291,ions,http://aims.fao.org/aos/agrovoc/c_16162
gas liquid chromatography,http://aims.fao.org/aos/agrovoc/c_28292,gases,http://aims.fao.org/aos/agrovoc/c_3197
gas liquid chromatography,http://aims.fao.org/aos/agrovoc/c_28292,liquids,http://aims.fao.org/aos/agrovoc/c_12200
gel chromatography,http://aims.fao.org/aos/agrovoc/c_28294,gels,http://aims.fao.org/aos/agrovoc/c_11114
polyacrylamide gel electrophoresis,http://aims.fao.org/aos/agrovoc/c_34078,polyacrylamide,http://aims.fao.org/aos/agrovoc/c_28505
