nome,uriVella,NovoElemento,uriNiovo
milking facilities,http://aims.fao.org/aos/agrovoc/c_25735,milking,http://aims.fao.org/aos/agrovoc/c_4835
comb foundations,http://aims.fao.org/aos/agrovoc/c_10026,foundations,http://aims.fao.org/aos/agrovoc/c_50214
honey supers,http://aims.fao.org/aos/agrovoc/c_14696,honey,http://aims.fao.org/aos/agrovoc/c_3652
pollen traps,http://aims.fao.org/aos/agrovoc/c_18980,pollen,http://aims.fao.org/aos/agrovoc/c_6070
pollen traps,http://aims.fao.org/aos/agrovoc/c_18980,traps,http://aims.fao.org/aos/agrovoc/c_7879
honey extractors,http://aims.fao.org/aos/agrovoc/c_25999,honey,http://aims.fao.org/aos/agrovoc/c_3652
honey extractors,http://aims.fao.org/aos/agrovoc/c_25999,extractors,http://aims.fao.org/aos/agrovoc/c_25998
poultry equipment,http://aims.fao.org/aos/agrovoc/c_25741,poultry,http://aims.fao.org/aos/agrovoc/c_6145
feeding equipment,http://aims.fao.org/aos/agrovoc/c_2839,feeding,http://aims.fao.org/aos/agrovoc/c_2838
fish feeder,http://aims.fao.org/aos/agrovoc/c_29bc6f3f,fish,http://aims.fao.org/aos/agrovoc/c_15903
animal identification equipment,http://aims.fao.org/aos/agrovoc/c_26055,identification,http://aims.fao.org/aos/agrovoc/c_3791
application equipment,http://aims.fao.org/aos/agrovoc/c_37293,application,http://aims.fao.org/aos/agrovoc/c_331436
soil injectors,http://aims.fao.org/aos/agrovoc/c_26094,soil,http://aims.fao.org/aos/agrovoc/c_7156
refrigeration equipment,http://aims.fao.org/aos/agrovoc/c_25722,refrigeration,http://aims.fao.org/aos/agrovoc/c_6485
milk coolers,http://aims.fao.org/aos/agrovoc/c_25795,milk,http://aims.fao.org/aos/agrovoc/c_4826
milk coolers,http://aims.fao.org/aos/agrovoc/c_25795,coolers,http://aims.fao.org/aos/agrovoc/c_28539
forestry equipment,http://aims.fao.org/aos/agrovoc/c_3058,forestry,http://aims.fao.org/aos/agrovoc/c_3055
logging equipment,http://aims.fao.org/aos/agrovoc/c_4419,logging,http://aims.fao.org/aos/agrovoc/c_7775
logging carts,http://aims.fao.org/aos/agrovoc/c_25691,logging,http://aims.fao.org/aos/agrovoc/c_7775
logging carts,http://aims.fao.org/aos/agrovoc/c_25691,carts,http://aims.fao.org/aos/agrovoc/c_1345
tree felling equipment,http://aims.fao.org/aos/agrovoc/c_25742,felling,http://aims.fao.org/aos/agrovoc/c_2847
growth chambers,http://aims.fao.org/aos/agrovoc/c_3395,growth,http://aims.fao.org/aos/agrovoc/c_3394
fumigation equipment,http://aims.fao.org/aos/agrovoc/c_3143,fumigation,http://aims.fao.org/aos/agrovoc/c_3142
artificial hawks,http://aims.fao.org/aos/agrovoc/c_8960,hawks,http://aims.fao.org/aos/agrovoc/c_3507
planting equipment,http://aims.fao.org/aos/agrovoc/c_5991,planting,http://aims.fao.org/aos/agrovoc/c_5992
seed drills,http://aims.fao.org/aos/agrovoc/c_2386,seed,http://aims.fao.org/aos/agrovoc/c_6927
potting machines,http://aims.fao.org/aos/agrovoc/c_25986,potting,http://aims.fao.org/aos/agrovoc/c_6143
sowing equipment,http://aims.fao.org/aos/agrovoc/c_26059,sowing,http://aims.fao.org/aos/agrovoc/c_7268
microwave ovens,http://aims.fao.org/aos/agrovoc/c_32492,ovens,http://aims.fao.org/aos/agrovoc/c_26803
traditional rice milling machinery,http://aims.fao.org/aos/agrovoc/c_330692,rice,http://aims.fao.org/aos/agrovoc/c_6599
traditional rice milling machinery,http://aims.fao.org/aos/agrovoc/c_330692,milling,http://aims.fao.org/aos/agrovoc/c_4840
maintenance equipment,http://aims.fao.org/aos/agrovoc/c_25749,maintenance,http://aims.fao.org/aos/agrovoc/c_4524
welding equipment,http://aims.fao.org/aos/agrovoc/c_26061,welding,http://aims.fao.org/aos/agrovoc/c_7eb51b94
cultivation equipment,http://aims.fao.org/aos/agrovoc/c_25750,cultivation,http://aims.fao.org/aos/agrovoc/c_2018
pruning implements,http://aims.fao.org/aos/agrovoc/c_6275,pruning,http://aims.fao.org/aos/agrovoc/c_6274
gardening equipment,http://aims.fao.org/aos/agrovoc/c_25755,gardening,http://aims.fao.org/aos/agrovoc/c_3195
plant protection equipment,http://aims.fao.org/aos/agrovoc/c_25760,protection,http://aims.fao.org/aos/agrovoc/c_330896
slurry spreaders,http://aims.fao.org/aos/agrovoc/c_7112,slurry,http://aims.fao.org/aos/agrovoc/c_16602
food industry equipment,http://aims.fao.org/aos/agrovoc/c_25773,industry,http://aims.fao.org/aos/agrovoc/c_3848
winemaking equipment,http://aims.fao.org/aos/agrovoc/c_25770,winemaking,http://aims.fao.org/aos/agrovoc/c_8405
trituration equipment,http://aims.fao.org/aos/agrovoc/c_26042,trituration,http://aims.fao.org/aos/agrovoc/c_15003
charcoal kilns,http://aims.fao.org/aos/agrovoc/c_28043,charcoal,http://aims.fao.org/aos/agrovoc/c_1503
forage conditioners,http://aims.fao.org/aos/agrovoc/c_3036,forage,http://aims.fao.org/aos/agrovoc/c_36108
forage harvesters,http://aims.fao.org/aos/agrovoc/c_25763,forage,http://aims.fao.org/aos/agrovoc/c_36108
seed harvesters,http://aims.fao.org/aos/agrovoc/c_25765,seed,http://aims.fao.org/aos/agrovoc/c_6927
beet cleaner loaders,http://aims.fao.org/aos/agrovoc/c_160beb13,loaders,http://aims.fao.org/aos/agrovoc/c_4407
walking tractors,http://aims.fao.org/aos/agrovoc/c_25779,walking,http://aims.fao.org/aos/agrovoc/c_15251
unmanned aerial vehicles,http://aims.fao.org/aos/agrovoc/c_3eb20052,vehicles,http://aims.fao.org/aos/agrovoc/c_8180
weather ships,http://aims.fao.org/aos/agrovoc/c_8342,weather,http://aims.fao.org/aos/agrovoc/c_15292
research vessels,http://aims.fao.org/aos/agrovoc/c_6516,research,http://aims.fao.org/aos/agrovoc/c_6513
fishing vessels,http://aims.fao.org/aos/agrovoc/c_2954,fishing,http://aims.fao.org/aos/agrovoc/c_26950
mining vessels,http://aims.fao.org/aos/agrovoc/c_26b63701,mining,http://aims.fao.org/aos/agrovoc/c_49983
protection vessels,http://aims.fao.org/aos/agrovoc/c_5d5851e6,protection,http://aims.fao.org/aos/agrovoc/c_330896
lighter ships,http://aims.fao.org/aos/agrovoc/c_4325,ships,http://aims.fao.org/aos/agrovoc/c_7040
radar satellite,http://aims.fao.org/aos/agrovoc/c_9000132,radar,http://aims.fao.org/aos/agrovoc/c_24071
earth observation satellites,http://aims.fao.org/aos/agrovoc/c_9000039,earth,http://aims.fao.org/aos/agrovoc/c_2437
earth observation satellites,http://aims.fao.org/aos/agrovoc/c_9000039,observation,http://aims.fao.org/aos/agrovoc/c_fc54b25b
photovoltaic cells,http://aims.fao.org/aos/agrovoc/c_35259,cells,http://aims.fao.org/aos/agrovoc/c_1418
safety equipment,http://aims.fao.org/aos/agrovoc/c_6733,safety,http://aims.fao.org/aos/agrovoc/c_6732
hearing protectors,http://aims.fao.org/aos/agrovoc/c_3515,hearing,http://aims.fao.org/aos/agrovoc/c_3514
roll over protection structures,http://aims.fao.org/aos/agrovoc/c_6635,protection,http://aims.fao.org/aos/agrovoc/c_330896
roll over protection structures,http://aims.fao.org/aos/agrovoc/c_6635,structures,http://aims.fao.org/aos/agrovoc/c_330905
carbon dioxide detectors,http://aims.fao.org/aos/agrovoc/c_25960,carbon,http://aims.fao.org/aos/agrovoc/c_1301
protective clothing,http://aims.fao.org/aos/agrovoc/c_6246,clothing,http://aims.fao.org/aos/agrovoc/c_a71a1006
cloth face masks,http://aims.fao.org/aos/agrovoc/c_6e269ea6,face,http://aims.fao.org/aos/agrovoc/c_b87cfa66
anaerobic digesters,http://aims.fao.org/aos/agrovoc/c_b88af936,digesters,http://aims.fao.org/aos/agrovoc/c_16120
aerobic digesters,http://aims.fao.org/aos/agrovoc/c_9ae1b016,digesters,http://aims.fao.org/aos/agrovoc/c_16120
soil management equipment,http://aims.fao.org/aos/agrovoc/c_25757,soil,http://aims.fao.org/aos/agrovoc/c_7156
soil management equipment,http://aims.fao.org/aos/agrovoc/c_25757,management,http://aims.fao.org/aos/agrovoc/c_16086
drainage equipment,http://aims.fao.org/aos/agrovoc/c_2373,drainage,http://aims.fao.org/aos/agrovoc/c_2372
fishing gear,http://aims.fao.org/aos/agrovoc/c_2946,fishing,http://aims.fao.org/aos/agrovoc/c_26950
deck equipment,http://aims.fao.org/aos/agrovoc/c_2148,equipment,http://aims.fao.org/aos/agrovoc/c_2631
bycatch excluder devices,http://aims.fao.org/aos/agrovoc/c_fe6a0492,bycatch,http://aims.fao.org/aos/agrovoc/c_15949
fish aggregating devices,http://aims.fao.org/aos/agrovoc/c_265f64c3,fish,http://aims.fao.org/aos/agrovoc/c_15903
protective structures,http://aims.fao.org/aos/agrovoc/c_6249,structures,http://aims.fao.org/aos/agrovoc/c_330905
woodworking equipment,http://aims.fao.org/aos/agrovoc/c_8435,woodworking,http://aims.fao.org/aos/agrovoc/c_25103
fermentation equipment,http://aims.fao.org/aos/agrovoc/c_25831,fermentation,http://aims.fao.org/aos/agrovoc/c_2855
electricity generators,http://aims.fao.org/aos/agrovoc/c_25730,electricity,http://aims.fao.org/aos/agrovoc/c_2518
heat exchangers,http://aims.fao.org/aos/agrovoc/c_11483,heat,http://aims.fao.org/aos/agrovoc/c_3519
