nome,uriVella,NovoElemento,uriNiovo
policy innovation,http://aims.fao.org/aos/agrovoc/c_576d3503,policies,http://aims.fao.org/aos/agrovoc/c_6062
forest fires,http://aims.fao.org/aos/agrovoc/c_3045,forests,http://aims.fao.org/aos/agrovoc/c_3062
leaf conductance,http://aims.fao.org/aos/agrovoc/c_37241,leaves,http://aims.fao.org/aos/agrovoc/c_4243
livestock injuries,http://aims.fao.org/aos/agrovoc/c_11775,livestock,http://aims.fao.org/aos/agrovoc/c_4397
plant injuries,http://aims.fao.org/aos/agrovoc/c_32596,plants,http://aims.fao.org/aos/agrovoc/c_5993
browsing damage,http://aims.fao.org/aos/agrovoc/c_1119,browsing,http://aims.fao.org/aos/agrovoc/c_1118
hail damage,http://aims.fao.org/aos/agrovoc/c_32475,hail,http://aims.fao.org/aos/agrovoc/c_3469
radiation damage,http://aims.fao.org/aos/agrovoc/c_6421,radiation,http://aims.fao.org/aos/agrovoc/c_6422
wind damage,http://aims.fao.org/aos/agrovoc/c_8392,winds,http://aims.fao.org/aos/agrovoc/c_8401
frost damage,http://aims.fao.org/aos/agrovoc/c_3114,frost,http://aims.fao.org/aos/agrovoc/c_3113
REDD-plus partnership,http://aims.fao.org/aos/agrovoc/c_1370618424101,REDD-plus,http://aims.fao.org/aos/agrovoc/c_1370618248311
REDD-plus partnership,http://aims.fao.org/aos/agrovoc/c_1370618424101,partnerships,http://aims.fao.org/aos/agrovoc/c_5602
TRAFFIC (wildlife trade monitoring network),http://aims.fao.org/aos/agrovoc/c_1371049701397,wildlife,http://aims.fao.org/aos/agrovoc/c_8389
TRAFFIC (wildlife trade monitoring network),http://aims.fao.org/aos/agrovoc/c_1371049701397,trade,http://aims.fao.org/aos/agrovoc/c_7848
TRAFFIC (wildlife trade monitoring network),http://aims.fao.org/aos/agrovoc/c_1371049701397,monitoring,http://aims.fao.org/aos/agrovoc/c_4911
TRAFFIC (wildlife trade monitoring network),http://aims.fao.org/aos/agrovoc/c_1371049701397,networks,http://aims.fao.org/aos/agrovoc/c_50266
heat shock,http://aims.fao.org/aos/agrovoc/c_34015,heat,http://aims.fao.org/aos/agrovoc/c_3519
cold shock,http://aims.fao.org/aos/agrovoc/c_36476,cold,http://aims.fao.org/aos/agrovoc/c_1743
economic shock,http://aims.fao.org/aos/agrovoc/c_02cda71c,economics,http://aims.fao.org/aos/agrovoc/c_2481
livestock overwintering,http://aims.fao.org/aos/agrovoc/c_29041,livestock,http://aims.fao.org/aos/agrovoc/c_4397
nutrient intake,http://aims.fao.org/aos/agrovoc/c_34064,nutrients,http://aims.fao.org/aos/agrovoc/c_5274
fishing mortality,http://aims.fao.org/aos/agrovoc/c_c6774ac5,fishing,http://aims.fao.org/aos/agrovoc/c_26950
livestock mortality,http://aims.fao.org/aos/agrovoc/c_92a58d79,livestock,http://aims.fao.org/aos/agrovoc/c_4397
mass mortality,http://aims.fao.org/aos/agrovoc/c_34f2e89a,mass,http://aims.fao.org/aos/agrovoc/c_4639
fish kill,http://aims.fao.org/aos/agrovoc/c_b204fae4,fish,http://aims.fao.org/aos/agrovoc/c_15903
brain drain,http://aims.fao.org/aos/agrovoc/c_9969eab9,brain,http://aims.fao.org/aos/agrovoc/c_1053
