nome,uriVella,NovoElemento,uriNiovo
water plants,http://aims.fao.org/aos/agrovoc/c_559,water,http://aims.fao.org/aos/agrovoc/c_8309
aquatic ornamental plants,http://aims.fao.org/aos/agrovoc/c_558,ornamental plants,http://aims.fao.org/aos/agrovoc/c_5417
water lilies,http://aims.fao.org/aos/agrovoc/c_8319,water,http://aims.fao.org/aos/agrovoc/c_8309
water lilies,http://aims.fao.org/aos/agrovoc/c_8319,lilies,http://aims.fao.org/aos/agrovoc/c_12174
sea grasses,http://aims.fao.org/aos/agrovoc/c_8c5836a6,grasses,http://aims.fao.org/aos/agrovoc/c_3362
freshwater plants,http://aims.fao.org/aos/agrovoc/c_c1e5f477,freshwater,http://aims.fao.org/aos/agrovoc/c_3102
grass weeds,http://aims.fao.org/aos/agrovoc/c_330644,grasses,http://aims.fao.org/aos/agrovoc/c_3362
lowland grass weeds,http://aims.fao.org/aos/agrovoc/c_330647,lowland,http://aims.fao.org/aos/agrovoc/c_4453
broad leaf weeds,http://aims.fao.org/aos/agrovoc/c_330650,leaves,http://aims.fao.org/aos/agrovoc/c_4243
upland broad leaf weeds,http://aims.fao.org/aos/agrovoc/c_330689,leaves,http://aims.fao.org/aos/agrovoc/c_4243
irrigated broad leaf weed,http://aims.fao.org/aos/agrovoc/c_330791,leaves,http://aims.fao.org/aos/agrovoc/c_4243
irrigated area weeds,http://aims.fao.org/aos/agrovoc/c_330789,area,http://aims.fao.org/aos/agrovoc/c_330588
sedge weed,http://aims.fao.org/aos/agrovoc/c_330793,Cyperaceae,http://aims.fao.org/aos/agrovoc/c_2072
lawn grasses,http://aims.fao.org/aos/agrovoc/c_4230,turf,http://aims.fao.org/aos/agrovoc/c_8011
turf grasses,http://aims.fao.org/aos/agrovoc/c_4230,turf,http://aims.fao.org/aos/agrovoc/c_8011
ornamental woody plants,http://aims.fao.org/aos/agrovoc/c_34067,woody plants,http://aims.fao.org/aos/agrovoc/c_26837
ornamental shrubs,http://aims.fao.org/aos/agrovoc/c_34067,shrubs,http://aims.fao.org/aos/agrovoc/c_26823
ornamental trees,http://aims.fao.org/aos/agrovoc/c_34067,trees,http://aims.fao.org/aos/agrovoc/c_7887
flowering shrubs,http://aims.fao.org/aos/agrovoc/c_34067,flowering,http://aims.fao.org/aos/agrovoc/c_2992
flowering shrubs,http://aims.fao.org/aos/agrovoc/c_34067,shrubs,http://aims.fao.org/aos/agrovoc/c_26823
flowering trees,http://aims.fao.org/aos/agrovoc/c_34067,flowering,http://aims.fao.org/aos/agrovoc/c_2992
flowering trees,http://aims.fao.org/aos/agrovoc/c_34067,trees,http://aims.fao.org/aos/agrovoc/c_7887
ornamental foliage plants,http://aims.fao.org/aos/agrovoc/c_5414,foliage,http://aims.fao.org/aos/agrovoc/c_36752
ornamental bulbs,http://aims.fao.org/aos/agrovoc/c_5411,bulbs,http://aims.fao.org/aos/agrovoc/c_1144
flowering bulbs,http://aims.fao.org/aos/agrovoc/c_5411,flowering,http://aims.fao.org/aos/agrovoc/c_2992
flowering bulbs,http://aims.fao.org/aos/agrovoc/c_5411,bulbs,http://aims.fao.org/aos/agrovoc/c_1144
bedding plants,http://aims.fao.org/aos/agrovoc/c_855,litter for animals,http://aims.fao.org/aos/agrovoc/c_434
ornamental orchids,http://aims.fao.org/aos/agrovoc/c_5416,Orchidaceae,http://aims.fao.org/aos/agrovoc/c_5380
rock garden plants,http://aims.fao.org/aos/agrovoc/c_6629,rock,http://aims.fao.org/aos/agrovoc/c_6628
rock garden plants,http://aims.fao.org/aos/agrovoc/c_6629,gardens,http://aims.fao.org/aos/agrovoc/c_3196
alpine garden plants,http://aims.fao.org/aos/agrovoc/c_6629,gardens,http://aims.fao.org/aos/agrovoc/c_3196
garden biennials,http://aims.fao.org/aos/agrovoc/c_11085,gardens,http://aims.fao.org/aos/agrovoc/c_3196
garden annuals,http://aims.fao.org/aos/agrovoc/c_11083,gardens,http://aims.fao.org/aos/agrovoc/c_3196
landscape plants,http://aims.fao.org/aos/agrovoc/c_15858,landscape,http://aims.fao.org/aos/agrovoc/c_4185
virus free plants,http://aims.fao.org/aos/agrovoc/c_24925,viruses,http://aims.fao.org/aos/agrovoc/c_8262
land plants,http://aims.fao.org/aos/agrovoc/c_330289,land,http://aims.fao.org/aos/agrovoc/c_4172
economic plants,http://aims.fao.org/aos/agrovoc/c_1972,economics,http://aims.fao.org/aos/agrovoc/c_2481
fodder legumes,http://aims.fao.org/aos/agrovoc/c_2834,forage,http://aims.fao.org/aos/agrovoc/c_36108
forage legumes,http://aims.fao.org/aos/agrovoc/c_2834,forage,http://aims.fao.org/aos/agrovoc/c_36108
grain legumes,http://aims.fao.org/aos/agrovoc/c_3351,grain,http://aims.fao.org/aos/agrovoc/c_3346
broad beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
faba beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
tick beans,http://aims.fao.org/aos/agrovoc/c_10722,Metastigmata,http://aims.fao.org/aos/agrovoc/c_7763
tick beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
fava beans,http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
field bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,fields,http://aims.fao.org/aos/agrovoc/c_2894
field bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
horse bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,horses,http://aims.fao.org/aos/agrovoc/c_3668
horse bean (vicia),http://aims.fao.org/aos/agrovoc/c_10722,beans,http://aims.fao.org/aos/agrovoc/c_331566
lima beans,http://aims.fao.org/aos/agrovoc/c_12180,beans,http://aims.fao.org/aos/agrovoc/c_331566
