nome,resultado,tempo
meat animals production,'Meat animal farming',8.77
beef cattle production,'Beef Cattle',8.46
ornamental fishes production,'Ornamental fish culture',20.7
pet animals production,'animal husbandry',4.36
ornamental birds production,'ornamental birds production',7.22
songbirds production,'Singing birds',5.46
plumage birds production,'bird feather cultivation',11.04
zoo animals production,'Animal husbandry',12.78
domestic animals production,'Domestic animals',11.85
poultry production,'Poultry farming',11.09
geese production,'goose raising',8.72
ganders production,'Poultry Production',12.9
goslings production,'Goose farming',12.0
chickens production,'Poultry farming',9.26
capons production,'Capon production',7.13
cocks production,'rooster production',7.8
chicks production,"""Poultry farming and production""",7.18
broiler chickens production,'Broiler chicken farming',7.89
cockerels production,'broiler chicken farming',10.1
hens production,'Hen management',9.24
layer chickens production,'Layer chicken production',4.93
pullets production,'Poultry Production',5.96
layer breeders production,'Poultry farming',7.82
broiler breeders production,'Poultry meat production',12.48
guinea fowl production,'Guinea fowl farming',6.79
quails production,'quail',6.29
turkeys production,'turkey farming',8.86
turkey poults production,'Poultry farming',4.2
ducks production,"""Duck farming""",4.51
drakes production,'Poultry farming',5.92
ducklings production,'Duckling',6.95
Muscovy ducks production,'duck farming',6.83
working animals production,'Working animals',12.72
draught animals production,'animal husbandry',7.24
pack animals production,'livestock farming',8.66
livestock production,'Animal husbandry and breeding',7.62
cattle production,'Livestock farming',5.57
bullocks production,'beef cattle farming',6.85
bulls production,'livestock farming',9.67
heifers production,'Heifer production',6.88
dairy cattle production,'Dairy cattle production',6.22
dairy cows production,'Dairy cattle farming',7.07
zebu production,'Zebu',3.64
banteng production,'Banteng farming',4.55
calves production,'Livestock farming',12.9
cows production,'Livestock farming',5.76
suckler cows production,'suckler cow',4.36
yearling bulls production,'Beef cattle farming',5.95
gaurs production,'Goat meat production',5.82
yaks production,'Yak milk production',8.81
goats production,'Goat farming',8.83
billygoats production,'Goat farming',11.9
kids production,'Children's clothing',10.11
nannygoats production,"""Goat farming""",8.42
doelings production,'Kid goat meat production',10.14
female yearling (goat) production,'Goat farming',8.4
male yearling (goat) production,'Goat farming',6.57
dairy goats production,'Dairy goat production',7.19
fibre goats production,'Fiber producing animals',10.19
llamas production,'Production',6.88
sheep production,'Sheep farming',7.37
ewes production,'Sheep farming',13.17
lambs production,'Sheep farming',7.28
hoggets production,"'""Sheep meat production""'",10.41
rams production,'Ram',11.61
wethers production,'Livestock farming',7.71
ewe hoggs production,'sheep farming',7.01
gimmers production,'Sheep rearing',11.05
dairy sheep production,'Dairy farming',8.24
donkeys production,'Donkey breeding',6.12
hinnies production,'Hinny',8.05
mules production,'Mule breeding',6.12
domestic buffaloes production,'Domestic buffaloes',9.14
water buffaloes production,'Animal husbandry and livestock services',7.0
camels production,'Production',10.54
dromedaries production,'Camelids',8.05
Bactrian camels production,'camelids',9.5
swine production,'Pig farming',6.66
piglets production,'pig farming',9.24
suckling piglets production,'Pig Production',7.76
weaners production,"""Weaning""",5.96
boars production,'Pig farming',6.9
barrows production,'Barrows',5.76
sows production,'Sow productivity',13.33
gilts production,'Gilt',9.67
dry sows production,'Dry sows',9.16
farrowing sows production,'farrowing',7.6
miniature pigs production,'pig farming',5.45
fattening pigs production,'Pig fattening',10.51
horses production,'Production systems',7.33
fillies production,'Horse breeding',8.48
racehorses production,'Horse breeding',9.37
saddle horses production,'Horse breeding',7.37
draught horses production,'Horse breeding',6.7
mares production,'Horse breeding',8.4
geldings production,'Horse breeding',8.84
stallions production,'Horses',8.36
ponies production,'production',7.59
colts production,'livestock production',8.03
yearling (horse) production,'Yearling horse',6.77
foals production,'Foal rearing',7.01
milk yielding animals production,'Animal husbandry and dairy farming',6.84
furbearing animals production,'Fur farming',5.97
skin producing animals production,'animal husbandry',4.89
oil producing animals production,'Animal product',6.5
performing animals production,'Performance animal farming',10.02
pollinators production,'Pollination',7.1
useful arthropods production,'Arthropod farming',9.23
biological control arthropods production,'Biological control agents',6.06
useful insects production,'insect farming',10.64
Lac insects production,"""Production""",8.96
silkworms production,'Silk production',7.94
dung beetles production,'animal husbandry',7.56
insects as food production,'Entomology',10.96
ornamental insects production,'Invertebrate culture',7.04
medicinal insects production,'Sericulture',13.16
wool producing animals production,'Wool production',9.67
breeding stock production,'Breeding',13.89
laboratory animals production,'Animal husbandry',8.37
gnotobiotic animals production,'Germ-free animals',8.42
laboratory mammals production,'Livestock farming',7.55
recipient animals production,'animal production',8.12
donor animals production,'animal breeding',7.46
