nome,uriVella,NovoElemento,uriNiovo
in vitro selection,http://aims.fao.org/aos/agrovoc/c_27559,in vitro,http://aims.fao.org/aos/agrovoc/c_37563
choice of species,http://aims.fao.org/aos/agrovoc/c_33964,species,http://aims.fao.org/aos/agrovoc/c_7280
choice of breed,http://aims.fao.org/aos/agrovoc/c_33964,breeds (animals),http://aims.fao.org/aos/agrovoc/c_1081
species selection,http://aims.fao.org/aos/agrovoc/c_33964,species,http://aims.fao.org/aos/agrovoc/c_7280
variety choice,http://aims.fao.org/aos/agrovoc/c_36085,varieties,http://aims.fao.org/aos/agrovoc/c_8157
cultivar selection,http://aims.fao.org/aos/agrovoc/c_330719,varieties,http://aims.fao.org/aos/agrovoc/c_8157
seed selection,http://aims.fao.org/aos/agrovoc/c_330719,seed,http://aims.fao.org/aos/agrovoc/c_6927
mass selection,http://aims.fao.org/aos/agrovoc/c_36569,mass,http://aims.fao.org/aos/agrovoc/c_4639
individual selection,http://aims.fao.org/aos/agrovoc/c_36570,individuals,http://aims.fao.org/aos/agrovoc/c_49823
genomic selection,http://aims.fao.org/aos/agrovoc/c_394fd447,genomics,http://aims.fao.org/aos/agrovoc/c_92382
molecular marker assisted selection,http://aims.fao.org/aos/agrovoc/c_394fd447,genetic markers,http://aims.fao.org/aos/agrovoc/c_24030
site selection,http://aims.fao.org/aos/agrovoc/c_389d5f97,site,http://aims.fao.org/aos/agrovoc/c_331000
site evaluation,http://aims.fao.org/aos/agrovoc/c_389d5f97,site,http://aims.fao.org/aos/agrovoc/c_331000
site evaluation,http://aims.fao.org/aos/agrovoc/c_389d5f97,evaluation,http://aims.fao.org/aos/agrovoc/c_2736
seawater evolution,http://aims.fao.org/aos/agrovoc/c_52586368,seawater,http://aims.fao.org/aos/agrovoc/c_6903
history of sea water,http://aims.fao.org/aos/agrovoc/c_52586368,history,http://aims.fao.org/aos/agrovoc/c_3635
history of sea water,http://aims.fao.org/aos/agrovoc/c_52586368,shelf seas,http://aims.fao.org/aos/agrovoc/c_b1ba4370
growth inhibition,http://aims.fao.org/aos/agrovoc/c_34027,growth,http://aims.fao.org/aos/agrovoc/c_3394
cell division,http://aims.fao.org/aos/agrovoc/c_1413,cells,http://aims.fao.org/aos/agrovoc/c_1418
cell division,http://aims.fao.org/aos/agrovoc/c_1413,divisions,http://aims.fao.org/aos/agrovoc/c_50200
reduction division,http://aims.fao.org/aos/agrovoc/c_4706,reduction,http://aims.fao.org/aos/agrovoc/c_6483
nuclear division,http://aims.fao.org/aos/agrovoc/c_12859,divisions,http://aims.fao.org/aos/agrovoc/c_50200
natural hybridization,http://aims.fao.org/aos/agrovoc/c_36587,hybridization,http://aims.fao.org/aos/agrovoc/c_3706
spontaneous hybridization,http://aims.fao.org/aos/agrovoc/c_36587,hybridization,http://aims.fao.org/aos/agrovoc/c_3706
plant nutrition,http://aims.fao.org/aos/agrovoc/c_16379,plants,http://aims.fao.org/aos/agrovoc/c_5993
human nutrition,http://aims.fao.org/aos/agrovoc/c_27933,humans,http://aims.fao.org/aos/agrovoc/c_4586
elderly nutrition,http://aims.fao.org/aos/agrovoc/c_34818,elderly,http://aims.fao.org/aos/agrovoc/c_28629
child nutrition,http://aims.fao.org/aos/agrovoc/c_a1110f6c,children,http://aims.fao.org/aos/agrovoc/c_1547
animal nutrition,http://aims.fao.org/aos/agrovoc/c_27925,animals,http://aims.fao.org/aos/agrovoc/c_444
recruitment (fisheries),http://aims.fao.org/aos/agrovoc/c_01a507b7,fisheries,http://aims.fao.org/aos/agrovoc/c_2934
genetic processes,http://aims.fao.org/aos/agrovoc/c_331001,genetics,http://aims.fao.org/aos/agrovoc/c_3222
gene cloning,http://aims.fao.org/aos/agrovoc/c_27694,genes,http://aims.fao.org/aos/agrovoc/c_3214
DNA cloning,http://aims.fao.org/aos/agrovoc/c_27695,DNA,http://aims.fao.org/aos/agrovoc/c_2347
chromosome pairing,http://aims.fao.org/aos/agrovoc/c_33465,chromosomes,http://aims.fao.org/aos/agrovoc/c_1598
crossing over,http://aims.fao.org/aos/agrovoc/c_27495,cross-breeding,http://aims.fao.org/aos/agrovoc/c_1976
restriction fragment length polymorphism,http://aims.fao.org/aos/agrovoc/c_34255,restrictions,http://aims.fao.org/aos/agrovoc/c_78af9f7e
restriction fragment length polymorphism,http://aims.fao.org/aos/agrovoc/c_34255,length,http://aims.fao.org/aos/agrovoc/c_4260
