nome,uriVella,NovoElemento,uriNiovo
animal products,http://aims.fao.org/aos/agrovoc/c_438,animals,http://aims.fao.org/aos/agrovoc/c_444
legs (meat),http://aims.fao.org/aos/agrovoc/c_4254,legs,http://aims.fao.org/aos/agrovoc/c_12129
baby beef,http://aims.fao.org/aos/agrovoc/c_9038,infants,http://aims.fao.org/aos/agrovoc/c_3851
baby beef,http://aims.fao.org/aos/agrovoc/c_9038,beef,http://aims.fao.org/aos/agrovoc/c_861
calf meat,http://aims.fao.org/aos/agrovoc/c_8163,calves,http://aims.fao.org/aos/agrovoc/c_1219
game meat,http://aims.fao.org/aos/agrovoc/c_3183,game,http://aims.fao.org/aos/agrovoc/c_3179
lamb meat,http://aims.fao.org/aos/agrovoc/c_4162,lambs,http://aims.fao.org/aos/agrovoc/c_4163
sheep meat,http://aims.fao.org/aos/agrovoc/c_5015,sheep,http://aims.fao.org/aos/agrovoc/c_7030
pig meat,http://aims.fao.org/aos/agrovoc/c_6120,swine,http://aims.fao.org/aos/agrovoc/c_7555
poultry meat,http://aims.fao.org/aos/agrovoc/c_6147,poultry,http://aims.fao.org/aos/agrovoc/c_6145
chicken meat,http://aims.fao.org/aos/agrovoc/c_24000,chickens,http://aims.fao.org/aos/agrovoc/c_1540
duck meat,http://aims.fao.org/aos/agrovoc/c_24021,ducks,http://aims.fao.org/aos/agrovoc/c_2406
goose meat,http://aims.fao.org/aos/agrovoc/c_24034,geese,http://aims.fao.org/aos/agrovoc/c_3208
turkey meat,http://aims.fao.org/aos/agrovoc/c_24096,turkeys,http://aims.fao.org/aos/agrovoc/c_8016
dark firm dry meat,http://aims.fao.org/aos/agrovoc/c_15896,enterprises,http://aims.fao.org/aos/agrovoc/c_10626
goat meat,http://aims.fao.org/aos/agrovoc/c_15978,goats,http://aims.fao.org/aos/agrovoc/c_3324
horse meat,http://aims.fao.org/aos/agrovoc/c_15983,horses,http://aims.fao.org/aos/agrovoc/c_3668
rabbit meat,http://aims.fao.org/aos/agrovoc/c_16026,rabbits,http://aims.fao.org/aos/agrovoc/c_6414
camel meat,http://aims.fao.org/aos/agrovoc/c_23998,camels,http://aims.fao.org/aos/agrovoc/c_1228
dromedary meat,http://aims.fao.org/aos/agrovoc/c_23998,dromedaries,http://aims.fao.org/aos/agrovoc/c_10467
hive products,http://aims.fao.org/aos/agrovoc/c_3655,hives,http://aims.fao.org/aos/agrovoc/c_3640
honeycomb extracts,http://aims.fao.org/aos/agrovoc/c_29026,honeycombs,http://aims.fao.org/aos/agrovoc/c_3656
camel milk,http://aims.fao.org/aos/agrovoc/c_16077,camels,http://aims.fao.org/aos/agrovoc/c_1228
cow milk,http://aims.fao.org/aos/agrovoc/c_16080,cows,http://aims.fao.org/aos/agrovoc/c_1939
cattle milk,http://aims.fao.org/aos/agrovoc/c_16080,cattle,http://aims.fao.org/aos/agrovoc/c_1391
ewe milk,http://aims.fao.org/aos/agrovoc/c_16081,ewes,http://aims.fao.org/aos/agrovoc/c_2746
sheep milk,http://aims.fao.org/aos/agrovoc/c_16081,sheep,http://aims.fao.org/aos/agrovoc/c_7030
goat milk,http://aims.fao.org/aos/agrovoc/c_16083,goats,http://aims.fao.org/aos/agrovoc/c_3324
human milk,http://aims.fao.org/aos/agrovoc/c_16085,humans,http://aims.fao.org/aos/agrovoc/c_4586
mare milk,http://aims.fao.org/aos/agrovoc/c_16087,mares,http://aims.fao.org/aos/agrovoc/c_4600
livestock products,http://aims.fao.org/aos/agrovoc/c_12215,livestock,http://aims.fao.org/aos/agrovoc/c_4397
fishery products,http://aims.fao.org/aos/agrovoc/c_2941,fisheries,http://aims.fao.org/aos/agrovoc/c_2934
mother of pearl,http://aims.fao.org/aos/agrovoc/c_4951,mothers,http://aims.fao.org/aos/agrovoc/c_4952
mother of pearl,http://aims.fao.org/aos/agrovoc/c_4951,pearls,http://aims.fao.org/aos/agrovoc/c_5644
ornamental shells,http://aims.fao.org/aos/agrovoc/c_5418,shells,http://aims.fao.org/aos/agrovoc/c_7032
decorative shells,http://aims.fao.org/aos/agrovoc/c_5418,shells,http://aims.fao.org/aos/agrovoc/c_7032
wildlife products,http://aims.fao.org/aos/agrovoc/c_c174682e,wildlife,http://aims.fao.org/aos/agrovoc/c_8389
whole wheat bread,http://aims.fao.org/aos/agrovoc/c_6ffb585d,wheat,http://aims.fao.org/aos/agrovoc/c_8373
oat cakes,http://aims.fao.org/aos/agrovoc/c_acb850d3,oats,http://aims.fao.org/aos/agrovoc/c_5287
oat cakes,http://aims.fao.org/aos/agrovoc/c_acb850d3,cakes,http://aims.fao.org/aos/agrovoc/c_1186
puff paste,http://aims.fao.org/aos/agrovoc/c_28486,pastes,http://aims.fao.org/aos/agrovoc/c_8ca9ab92
apple wines,http://aims.fao.org/aos/agrovoc/c_1617,apples,http://aims.fao.org/aos/agrovoc/c_541
apple wines,http://aims.fao.org/aos/agrovoc/c_1617,wines,http://aims.fao.org/aos/agrovoc/c_8406
rose wines,http://aims.fao.org/aos/agrovoc/c_28613,roses,http://aims.fao.org/aos/agrovoc/c_13964
port wine,http://aims.fao.org/aos/agrovoc/c_13522,harbours,http://aims.fao.org/aos/agrovoc/c_3492
honey wine,http://aims.fao.org/aos/agrovoc/c_35218,honey,http://aims.fao.org/aos/agrovoc/c_3652
honey wine,http://aims.fao.org/aos/agrovoc/c_35218,wines,http://aims.fao.org/aos/agrovoc/c_8406
chocolate drinks,http://aims.fao.org/aos/agrovoc/c_1712,chocolate,http://aims.fao.org/aos/agrovoc/c_1582
coffee substitutes,http://aims.fao.org/aos/agrovoc/c_1733,coffee,http://aims.fao.org/aos/agrovoc/c_1731
apple juice,http://aims.fao.org/aos/agrovoc/c_8893,apples,http://aims.fao.org/aos/agrovoc/c_541
pineapple juice,http://aims.fao.org/aos/agrovoc/c_25496,pineapples,http://aims.fao.org/aos/agrovoc/c_13394
grape juice,http://aims.fao.org/aos/agrovoc/c_25533,grapes,http://aims.fao.org/aos/agrovoc/c_3359
tea substitutes,http://aims.fao.org/aos/agrovoc/c_7636,tea,http://aims.fao.org/aos/agrovoc/c_7634
herbal teas,http://aims.fao.org/aos/agrovoc/c_35743,tea,http://aims.fao.org/aos/agrovoc/c_7634
herb teas,http://aims.fao.org/aos/agrovoc/c_35743,tea,http://aims.fao.org/aos/agrovoc/c_7634
Paraguay tea,http://aims.fao.org/aos/agrovoc/c_4647,Paraguay,http://aims.fao.org/aos/agrovoc/c_5560
chewing gum,http://aims.fao.org/aos/agrovoc/c_1536,gums,http://aims.fao.org/aos/agrovoc/c_3441
sugar confectionery,http://aims.fao.org/aos/agrovoc/c_7502,sugar,http://aims.fao.org/aos/agrovoc/c_7498
cooking fats,http://aims.fao.org/aos/agrovoc/c_1852,cooking,http://aims.fao.org/aos/agrovoc/c_1851
cooking oils,http://aims.fao.org/aos/agrovoc/c_1853,cooking,http://aims.fao.org/aos/agrovoc/c_1851
dietetic foods,http://aims.fao.org/aos/agrovoc/c_2262,dietetics,http://aims.fao.org/aos/agrovoc/c_2263
low fat foods,http://aims.fao.org/aos/agrovoc/c_34044,fats,http://aims.fao.org/aos/agrovoc/c_2816
reduced fat foods,http://aims.fao.org/aos/agrovoc/c_34044,fats,http://aims.fao.org/aos/agrovoc/c_2816
low calorie foods,http://aims.fao.org/aos/agrovoc/c_34309,calories,http://aims.fao.org/aos/agrovoc/c_7a64c5e2
reduced calorie foods,http://aims.fao.org/aos/agrovoc/c_34309,calories,http://aims.fao.org/aos/agrovoc/c_7a64c5e2
ready to cook foods,http://aims.fao.org/aos/agrovoc/c_6170,toes,http://aims.fao.org/aos/agrovoc/c_14912
infant foods,http://aims.fao.org/aos/agrovoc/c_3850,infants,http://aims.fao.org/aos/agrovoc/c_3851
weaning foods,http://aims.fao.org/aos/agrovoc/c_3850,weaning,http://aims.fao.org/aos/agrovoc/c_15291
baby foods,http://aims.fao.org/aos/agrovoc/c_3850,infants,http://aims.fao.org/aos/agrovoc/c_3851
infant formulas,http://aims.fao.org/aos/agrovoc/c_3850,infants,http://aims.fao.org/aos/agrovoc/c_3851
instant coffee,http://aims.fao.org/aos/agrovoc/c_16495,coffee,http://aims.fao.org/aos/agrovoc/c_1731
soy milk,http://aims.fao.org/aos/agrovoc/c_15563,milk,http://aims.fao.org/aos/agrovoc/c_4826
soybean curd,http://aims.fao.org/aos/agrovoc/c_15570,soybeans,http://aims.fao.org/aos/agrovoc/c_14477
soybean curd,http://aims.fao.org/aos/agrovoc/c_15570,curd,http://aims.fao.org/aos/agrovoc/c_10209
