nome,uriVella,NovoElemento,uriNiovo
wood density,http://aims.fao.org/aos/agrovoc/c_24549,wood,http://aims.fao.org/aos/agrovoc/c_8421
population density,http://aims.fao.org/aos/agrovoc/c_6112,population,http://aims.fao.org/aos/agrovoc/c_330887
water density,http://aims.fao.org/aos/agrovoc/c_5bab82a8,water,http://aims.fao.org/aos/agrovoc/c_8309
antimicrobial properties,http://aims.fao.org/aos/agrovoc/c_26756,antimicrobials,http://aims.fao.org/aos/agrovoc/c_509
grain and figure (wood),http://aims.fao.org/aos/agrovoc/c_35823,grain,http://aims.fao.org/aos/agrovoc/c_3346
transporting quality,http://aims.fao.org/aos/agrovoc/c_32613,quality,http://aims.fao.org/aos/agrovoc/c_6400
seedling age,http://aims.fao.org/aos/agrovoc/c_330589,seedlings,http://aims.fao.org/aos/agrovoc/c_6945
seed viability,http://aims.fao.org/aos/agrovoc/c_15179,seed,http://aims.fao.org/aos/agrovoc/c_6927
forest vitality,http://aims.fao.org/aos/agrovoc/c_1374849874515,forests,http://aims.fao.org/aos/agrovoc/c_3062
genetic resistance,http://aims.fao.org/aos/agrovoc/c_35130,genetics,http://aims.fao.org/aos/agrovoc/c_3222
water tolerance,http://aims.fao.org/aos/agrovoc/c_16151,water,http://aims.fao.org/aos/agrovoc/c_8309
cold tolerance,http://aims.fao.org/aos/agrovoc/c_9994,cold,http://aims.fao.org/aos/agrovoc/c_1743
heat tolerance,http://aims.fao.org/aos/agrovoc/c_11486,heat,http://aims.fao.org/aos/agrovoc/c_3519
glucose tolerance,http://aims.fao.org/aos/agrovoc/c_11180,glucose,http://aims.fao.org/aos/agrovoc/c_3287
drought tolerance,http://aims.fao.org/aos/agrovoc/c_14914,drought,http://aims.fao.org/aos/agrovoc/c_2391
salt tolerance,http://aims.fao.org/aos/agrovoc/c_24078,salts,http://aims.fao.org/aos/agrovoc/c_33129
drug tolerance,http://aims.fao.org/aos/agrovoc/c_25088,drugs,http://aims.fao.org/aos/agrovoc/c_2395
shade tolerance,http://aims.fao.org/aos/agrovoc/c_25267,shade,http://aims.fao.org/aos/agrovoc/c_14232
flooding tolerance,http://aims.fao.org/aos/agrovoc/c_36989,flooding,http://aims.fao.org/aos/agrovoc/c_2980
disease tolerance,http://aims.fao.org/aos/agrovoc/c_331441,diseases,http://aims.fao.org/aos/agrovoc/c_49879
fasting tolerance,http://aims.fao.org/aos/agrovoc/c_c0fb841c,fasting,http://aims.fao.org/aos/agrovoc/c_16545
resistance to injurious factors,http://aims.fao.org/aos/agrovoc/c_6520,toes,http://aims.fao.org/aos/agrovoc/c_14912
pest resistance,http://aims.fao.org/aos/agrovoc/c_5731,pests,http://aims.fao.org/aos/agrovoc/c_5741
parasite resistance,http://aims.fao.org/aos/agrovoc/c_17971197,parasites,http://aims.fao.org/aos/agrovoc/c_5574
drought resistance,http://aims.fao.org/aos/agrovoc/c_2392,drought,http://aims.fao.org/aos/agrovoc/c_2391
disease resistance,http://aims.fao.org/aos/agrovoc/c_2328,diseases,http://aims.fao.org/aos/agrovoc/c_49879
adult plant resistance,http://aims.fao.org/aos/agrovoc/c_7fdf1f94,adults,http://aims.fao.org/aos/agrovoc/c_139
adult plant resistance,http://aims.fao.org/aos/agrovoc/c_7fdf1f94,plants,http://aims.fao.org/aos/agrovoc/c_5993
temperature resistance,http://aims.fao.org/aos/agrovoc/c_7660,temperature,http://aims.fao.org/aos/agrovoc/c_7657
wind resistance,http://aims.fao.org/aos/agrovoc/c_8396,winds,http://aims.fao.org/aos/agrovoc/c_8401
winter hardiness,http://aims.fao.org/aos/agrovoc/c_16067,winter,http://aims.fao.org/aos/agrovoc/c_8410
winter hardiness,http://aims.fao.org/aos/agrovoc/c_16067,hardiness,http://aims.fao.org/aos/agrovoc/c_11458
frost resistance,http://aims.fao.org/aos/agrovoc/c_11025,frost,http://aims.fao.org/aos/agrovoc/c_3113
physiological stress resistance,http://aims.fao.org/aos/agrovoc/c_27025,stress,http://aims.fao.org/aos/agrovoc/c_7452
fire resistance,http://aims.fao.org/aos/agrovoc/c_648efc0d,fires,http://aims.fao.org/aos/agrovoc/c_2915
selection criteria,http://aims.fao.org/aos/agrovoc/c_1078,selection,http://aims.fao.org/aos/agrovoc/c_6951
resistance to chemicals,http://aims.fao.org/aos/agrovoc/c_5736,toes,http://aims.fao.org/aos/agrovoc/c_14912
resistance to chemicals,http://aims.fao.org/aos/agrovoc/c_5736,chemicals,http://aims.fao.org/aos/agrovoc/c_1520
saline and sodic soil resistance,http://aims.fao.org/aos/agrovoc/c_330809,soil,http://aims.fao.org/aos/agrovoc/c_7156
antimicrobial resistance,http://aims.fao.org/aos/agrovoc/c_662faf6f,antimicrobials,http://aims.fao.org/aos/agrovoc/c_509
resistance to antibiotics,http://aims.fao.org/aos/agrovoc/c_8848,toes,http://aims.fao.org/aos/agrovoc/c_14912
resistance to antibiotics,http://aims.fao.org/aos/agrovoc/c_8848,antibiotics,http://aims.fao.org/aos/agrovoc/c_492
plant habit,http://aims.fao.org/aos/agrovoc/c_5969,plants,http://aims.fao.org/aos/agrovoc/c_5993
plant habit,http://aims.fao.org/aos/agrovoc/c_5969,habits,http://aims.fao.org/aos/agrovoc/c_11419
tree form,http://aims.fao.org/aos/agrovoc/c_7884,trees,http://aims.fao.org/aos/agrovoc/c_7887
seed characteristics,http://aims.fao.org/aos/agrovoc/c_36509,seed,http://aims.fao.org/aos/agrovoc/c_6927
cell structure,http://aims.fao.org/aos/agrovoc/c_1414,cells,http://aims.fao.org/aos/agrovoc/c_1418
cell structure,http://aims.fao.org/aos/agrovoc/c_1414,structures,http://aims.fao.org/aos/agrovoc/c_330905
feed conversion efficiency,http://aims.fao.org/aos/agrovoc/c_16125,feeds,http://aims.fao.org/aos/agrovoc/c_2843
feed conversion efficiency,http://aims.fao.org/aos/agrovoc/c_16125,efficiency,http://aims.fao.org/aos/agrovoc/c_2491
nitrogen retention,http://aims.fao.org/aos/agrovoc/c_24944,nitrogen,http://aims.fao.org/aos/agrovoc/c_5192
egg characters,http://aims.fao.org/aos/agrovoc/c_2494,eggs,http://aims.fao.org/aos/agrovoc/c_2502
adolescent fertility,http://aims.fao.org/aos/agrovoc/c_9000002,adolescents,http://aims.fao.org/aos/agrovoc/c_37831
seed germinability,http://aims.fao.org/aos/agrovoc/c_36511,seed,http://aims.fao.org/aos/agrovoc/c_6927
pollen germinability,http://aims.fao.org/aos/agrovoc/c_36512,pollen,http://aims.fao.org/aos/agrovoc/c_6070
drug resistance,http://aims.fao.org/aos/agrovoc/c_10471,drugs,http://aims.fao.org/aos/agrovoc/c_2395
resistance to anthelmintics,http://aims.fao.org/aos/agrovoc/c_25066,toes,http://aims.fao.org/aos/agrovoc/c_14912
resistance to anthelmintics,http://aims.fao.org/aos/agrovoc/c_25066,anthelmintics,http://aims.fao.org/aos/agrovoc/c_475
pesticide resistance,http://aims.fao.org/aos/agrovoc/c_25427,pesticides,http://aims.fao.org/aos/agrovoc/c_5739
resistance to acaricides,http://aims.fao.org/aos/agrovoc/c_8584,toes,http://aims.fao.org/aos/agrovoc/c_14912
resistance to acaricides,http://aims.fao.org/aos/agrovoc/c_8584,acaricides,http://aims.fao.org/aos/agrovoc/c_56
resistance to fungicides,http://aims.fao.org/aos/agrovoc/c_11047,toes,http://aims.fao.org/aos/agrovoc/c_14912
resistance to fungicides,http://aims.fao.org/aos/agrovoc/c_11047,fungicides,http://aims.fao.org/aos/agrovoc/c_3146
herbicide resistance,http://aims.fao.org/aos/agrovoc/c_11530,herbicides,http://aims.fao.org/aos/agrovoc/c_3566
insecticide resistance,http://aims.fao.org/aos/agrovoc/c_11794,insecticides,http://aims.fao.org/aos/agrovoc/c_3887
resistance to nematicides,http://aims.fao.org/aos/agrovoc/c_12789,toes,http://aims.fao.org/aos/agrovoc/c_14912
resistance to nematicides,http://aims.fao.org/aos/agrovoc/c_12789,nematicides,http://aims.fao.org/aos/agrovoc/c_5109
pollen incompatibility,http://aims.fao.org/aos/agrovoc/c_6071,pollen,http://aims.fao.org/aos/agrovoc/c_6070
lodging resistance,http://aims.fao.org/aos/agrovoc/c_34308,lodging,http://aims.fao.org/aos/agrovoc/c_15592
seed storage life,http://aims.fao.org/aos/agrovoc/c_14174,seed,http://aims.fao.org/aos/agrovoc/c_6927
seed storage life,http://aims.fao.org/aos/agrovoc/c_14174,storage,http://aims.fao.org/aos/agrovoc/c_7427
plant structure,http://aims.fao.org/aos/agrovoc/c_13439,plants,http://aims.fao.org/aos/agrovoc/c_5993
plant structure,http://aims.fao.org/aos/agrovoc/c_13439,structures,http://aims.fao.org/aos/agrovoc/c_330905
root architecture,http://aims.fao.org/aos/agrovoc/c_b04afe23,roots,http://aims.fao.org/aos/agrovoc/c_6651
body conformation,http://aims.fao.org/aos/agrovoc/c_29251,bodies,http://aims.fao.org/aos/agrovoc/c_50164
animal structure,http://aims.fao.org/aos/agrovoc/c_31917,animals,http://aims.fao.org/aos/agrovoc/c_444
animal structure,http://aims.fao.org/aos/agrovoc/c_31917,structures,http://aims.fao.org/aos/agrovoc/c_330905
sex differences,http://aims.fao.org/aos/agrovoc/c_34106,sex,http://aims.fao.org/aos/agrovoc/c_7010
regenerative ability,http://aims.fao.org/aos/agrovoc/c_36858,ability,http://aims.fao.org/aos/agrovoc/c_49830
host plant resistance,http://aims.fao.org/aos/agrovoc/c_331556,hosts,http://aims.fao.org/aos/agrovoc/c_3673
host plant resistance,http://aims.fao.org/aos/agrovoc/c_331556,plants,http://aims.fao.org/aos/agrovoc/c_5993
population characteristics,http://aims.fao.org/aos/agrovoc/c_dec26c2a,population,http://aims.fao.org/aos/agrovoc/c_330887
homeothermy (physiology),http://aims.fao.org/aos/agrovoc/c_a28ebb0a,physiology,http://aims.fao.org/aos/agrovoc/c_49881
fruit characteristics,http://aims.fao.org/aos/agrovoc/c_012f6226,fruits,http://aims.fao.org/aos/agrovoc/c_3131
homothermy (hydrogeology),http://aims.fao.org/aos/agrovoc/c_33076,hydrogeology,http://aims.fao.org/aos/agrovoc/c_11669
body weight,http://aims.fao.org/aos/agrovoc/c_15846,bodies,http://aims.fao.org/aos/agrovoc/c_50164
weaning weight,http://aims.fao.org/aos/agrovoc/c_16152,weaning,http://aims.fao.org/aos/agrovoc/c_15291
carcass weight,http://aims.fao.org/aos/agrovoc/c_88647d04,carcasses,http://aims.fao.org/aos/agrovoc/c_1310
grain test weight,http://aims.fao.org/aos/agrovoc/c_2f56dbd8,grain,http://aims.fao.org/aos/agrovoc/c_3346
grain test weight,http://aims.fao.org/aos/agrovoc/c_2f56dbd8,tests,http://aims.fao.org/aos/agrovoc/c_330976
acoustic properties,http://aims.fao.org/aos/agrovoc/c_98,acoustics,http://aims.fao.org/aos/agrovoc/c_49911
enzyme activity,http://aims.fao.org/aos/agrovoc/c_2604,enzymes,http://aims.fao.org/aos/agrovoc/c_2603
colloidal stability,http://aims.fao.org/aos/agrovoc/c_36296,stability,http://aims.fao.org/aos/agrovoc/c_36930
isoelectric point,http://aims.fao.org/aos/agrovoc/c_28503,points,http://aims.fao.org/aos/agrovoc/c_b12823a4
specific gravity,http://aims.fao.org/aos/agrovoc/c_7281,gravity,http://aims.fao.org/aos/agrovoc/c_24586
wood bond strength,http://aims.fao.org/aos/agrovoc/c_27405678,wood,http://aims.fao.org/aos/agrovoc/c_8421
shear strength,http://aims.fao.org/aos/agrovoc/c_9d2ec51c,shear,http://aims.fao.org/aos/agrovoc/c_6c80a093
wind speed,http://aims.fao.org/aos/agrovoc/c_29582,winds,http://aims.fao.org/aos/agrovoc/c_8401
ship speed,http://aims.fao.org/aos/agrovoc/c_cd5425c6,ships,http://aims.fao.org/aos/agrovoc/c_7040
friction coefficient,http://aims.fao.org/aos/agrovoc/c_33495,friction,http://aims.fao.org/aos/agrovoc/c_33494
aerodynamic properties,http://aims.fao.org/aos/agrovoc/c_fe0ec5ea,aerodynamics,http://aims.fao.org/aos/agrovoc/c_0efda038
resistance to penetration,http://aims.fao.org/aos/agrovoc/c_6f5b0d4a,toes,http://aims.fao.org/aos/agrovoc/c_14912
chlorophyll fluorescence,http://aims.fao.org/aos/agrovoc/c_ffcb9d65,chlorophylls,http://aims.fao.org/aos/agrovoc/c_1577
membrane permeability,http://aims.fao.org/aos/agrovoc/c_b4d8c6ad,membranes,http://aims.fao.org/aos/agrovoc/c_28457
water holding capacity,http://aims.fao.org/aos/agrovoc/c_25304,water,http://aims.fao.org/aos/agrovoc/c_8309
blood pH,http://aims.fao.org/aos/agrovoc/c_33956,blood,http://aims.fao.org/aos/agrovoc/c_959
rhizosphere pH,http://aims.fao.org/aos/agrovoc/c_36313,rhizosphere,http://aims.fao.org/aos/agrovoc/c_6569
