nome,uriVella,NovoElemento,uriNiovo
dowry (land),http://aims.fao.org/aos/agrovoc/c_f7cf8606,land,http://aims.fao.org/aos/agrovoc/c_4172
common property,http://aims.fao.org/aos/agrovoc/c_9000022,commons,http://aims.fao.org/aos/agrovoc/c_778a14cf
farm inputs,http://aims.fao.org/aos/agrovoc/c_2798,farms,http://aims.fao.org/aos/agrovoc/c_2809
liquid gas fertilizers,http://aims.fao.org/aos/agrovoc/c_25712,liquids,http://aims.fao.org/aos/agrovoc/c_12200
liquid gas fertilizers,http://aims.fao.org/aos/agrovoc/c_25712,gases,http://aims.fao.org/aos/agrovoc/c_3197
nitrogen phosphorus fertilizers,http://aims.fao.org/aos/agrovoc/c_5198,nitrogen,http://aims.fao.org/aos/agrovoc/c_5192
nitrogen phosphorus fertilizers,http://aims.fao.org/aos/agrovoc/c_5198,phosphorus,http://aims.fao.org/aos/agrovoc/c_5804
phosphorus potassium fertilizers,http://aims.fao.org/aos/agrovoc/c_5805,phosphorus,http://aims.fao.org/aos/agrovoc/c_5804
phosphorus potassium fertilizers,http://aims.fao.org/aos/agrovoc/c_5805,potassium,http://aims.fao.org/aos/agrovoc/c_6139
nitrogen potassium fertilizers,http://aims.fao.org/aos/agrovoc/c_5199,nitrogen,http://aims.fao.org/aos/agrovoc/c_5192
nitrogen potassium fertilizers,http://aims.fao.org/aos/agrovoc/c_5199,potassium,http://aims.fao.org/aos/agrovoc/c_6139
fish manure,http://aims.fao.org/aos/agrovoc/c_27896,fish,http://aims.fao.org/aos/agrovoc/c_15903
potting composts,http://aims.fao.org/aos/agrovoc/c_6144,potting,http://aims.fao.org/aos/agrovoc/c_6143
phosphate fertilizers,http://aims.fao.org/aos/agrovoc/c_5800,phosphates,http://aims.fao.org/aos/agrovoc/c_35986
rock phosphate,http://aims.fao.org/aos/agrovoc/c_6630,rock,http://aims.fao.org/aos/agrovoc/c_6628
nitrogen fertilizers,http://aims.fao.org/aos/agrovoc/c_5195,nitrogen,http://aims.fao.org/aos/agrovoc/c_5192
ammonium fertilizers,http://aims.fao.org/aos/agrovoc/c_37197,ammonium,http://aims.fao.org/aos/agrovoc/c_32634
nitrate fertilizers,http://aims.fao.org/aos/agrovoc/c_37469,nitrates,http://aims.fao.org/aos/agrovoc/c_5187
sulfur fertilizers,http://aims.fao.org/aos/agrovoc/c_27917,sulfur,http://aims.fao.org/aos/agrovoc/c_7514
calcium fertilizers,http://aims.fao.org/aos/agrovoc/c_1199,calcium,http://aims.fao.org/aos/agrovoc/c_1196
magnesium fertilizers,http://aims.fao.org/aos/agrovoc/c_27904,magnesium,http://aims.fao.org/aos/agrovoc/c_4517
liquid fertilizers,http://aims.fao.org/aos/agrovoc/c_4372,liquids,http://aims.fao.org/aos/agrovoc/c_12200
propagation materials,http://aims.fao.org/aos/agrovoc/c_6224,materials,http://aims.fao.org/aos/agrovoc/c_92337
foundation seed,http://aims.fao.org/aos/agrovoc/c_331544,foundations,http://aims.fao.org/aos/agrovoc/c_50214
artificial seeds,http://aims.fao.org/aos/agrovoc/c_27453,seeds,http://aims.fao.org/aos/agrovoc/c_6946
planting stock,http://aims.fao.org/aos/agrovoc/c_16111,planting,http://aims.fao.org/aos/agrovoc/c_5992
planting stock,http://aims.fao.org/aos/agrovoc/c_16111,stocks,http://aims.fao.org/aos/agrovoc/c_28772
bare root stock,http://aims.fao.org/aos/agrovoc/c_f29a8d6b,roots,http://aims.fao.org/aos/agrovoc/c_6651
training materials,http://aims.fao.org/aos/agrovoc/c_9000168,training,http://aims.fao.org/aos/agrovoc/c_7861
training materials,http://aims.fao.org/aos/agrovoc/c_9000168,materials,http://aims.fao.org/aos/agrovoc/c_92337
extension materials,http://aims.fao.org/aos/agrovoc/c_9000061,extension,http://aims.fao.org/aos/agrovoc/c_2762
teaching materials,http://aims.fao.org/aos/agrovoc/c_7639,teaching,http://aims.fao.org/aos/agrovoc/c_7638
teaching materials,http://aims.fao.org/aos/agrovoc/c_7639,materials,http://aims.fao.org/aos/agrovoc/c_92337
water power,http://aims.fao.org/aos/agrovoc/c_8322,water,http://aims.fao.org/aos/agrovoc/c_8309
wind power,http://aims.fao.org/aos/agrovoc/c_8394,winds,http://aims.fao.org/aos/agrovoc/c_8401
wood energy,http://aims.fao.org/aos/agrovoc/c_37916,wood,http://aims.fao.org/aos/agrovoc/c_8421
water resources,http://aims.fao.org/aos/agrovoc/c_8325,water,http://aims.fao.org/aos/agrovoc/c_8309
freshwater resources,http://aims.fao.org/aos/agrovoc/c_a71c319d,freshwater,http://aims.fao.org/aos/agrovoc/c_3102
land resources,http://aims.fao.org/aos/agrovoc/c_4179,land,http://aims.fao.org/aos/agrovoc/c_4172
waste land,http://aims.fao.org/aos/agrovoc/c_16205,wastes,http://aims.fao.org/aos/agrovoc/c_8307
grazing lands,http://aims.fao.org/aos/agrovoc/c_3369,grazing,http://aims.fao.org/aos/agrovoc/c_25243
forest range,http://aims.fao.org/aos/agrovoc/c_28008,forests,http://aims.fao.org/aos/agrovoc/c_3062
mangrove swamps,http://aims.fao.org/aos/agrovoc/c_4577,mangroves,http://aims.fao.org/aos/agrovoc/c_16190
rice fields,http://aims.fao.org/aos/agrovoc/c_34891,rice,http://aims.fao.org/aos/agrovoc/c_6599
forest land,http://aims.fao.org/aos/agrovoc/c_24843,forests,http://aims.fao.org/aos/agrovoc/c_3062
mineral resources,http://aims.fao.org/aos/agrovoc/c_4852,minerals,http://aims.fao.org/aos/agrovoc/c_4857
mineral oils,http://aims.fao.org/aos/agrovoc/c_4851,minerals,http://aims.fao.org/aos/agrovoc/c_4857
diesel oil,http://aims.fao.org/aos/agrovoc/c_34813,oils,http://aims.fao.org/aos/agrovoc/c_5334
feed resources,http://aims.fao.org/aos/agrovoc/c_35106,feeds,http://aims.fao.org/aos/agrovoc/c_2843
