nome,uriVella,NovoElemento,uriNiovo
training strategies,http://aims.fao.org/aos/agrovoc/c_9000169,training,http://aims.fao.org/aos/agrovoc/c_7861
rural development strategies,http://aims.fao.org/aos/agrovoc/c_9000140,rural development,http://aims.fao.org/aos/agrovoc/c_6701
ecosystem approaches,http://aims.fao.org/aos/agrovoc/c_331454,ecosystems,http://aims.fao.org/aos/agrovoc/c_2482
extension approaches,http://aims.fao.org/aos/agrovoc/c_9000058,extension,http://aims.fao.org/aos/agrovoc/c_2762
extension strategies,http://aims.fao.org/aos/agrovoc/c_9000058,extension,http://aims.fao.org/aos/agrovoc/c_2762
group approaches,http://aims.fao.org/aos/agrovoc/c_9000074,groups,http://aims.fao.org/aos/agrovoc/c_50227
innovation platforms,http://aims.fao.org/aos/agrovoc/c_2ab08db1,innovation,http://aims.fao.org/aos/agrovoc/c_27560
participatory varietal selection,http://aims.fao.org/aos/agrovoc/c_12ecc6d9,selection,http://aims.fao.org/aos/agrovoc/c_6951
food chain approaches,http://aims.fao.org/aos/agrovoc/c_d69f84d2,food chains,http://aims.fao.org/aos/agrovoc/c_3014
landscape approaches,http://aims.fao.org/aos/agrovoc/c_92d1ce62,landscape,http://aims.fao.org/aos/agrovoc/c_4185
communication strategies,http://aims.fao.org/aos/agrovoc/c_c1180f6a,communication,http://aims.fao.org/aos/agrovoc/c_37866
livelihood strategies,http://aims.fao.org/aos/agrovoc/c_eccee9c3,livelihoods,http://aims.fao.org/aos/agrovoc/c_1374498089962
