nome,uriVella,NovoElemento,uriNiovo
animal sciences,http://aims.fao.org/aos/agrovoc/c_441,animals,http://aims.fao.org/aos/agrovoc/c_444
earth sciences,http://aims.fao.org/aos/agrovoc/c_2438,earth,http://aims.fao.org/aos/agrovoc/c_2437
water surface slope,http://aims.fao.org/aos/agrovoc/c_1a526a75,water,http://aims.fao.org/aos/agrovoc/c_8309
landform types,http://aims.fao.org/aos/agrovoc/c_5dc44888,landforms,http://aims.fao.org/aos/agrovoc/c_34247ea4
dynamic topography,http://aims.fao.org/aos/agrovoc/c_1810e50d,dynamics,http://aims.fao.org/aos/agrovoc/c_330860
fluvial morphology,http://aims.fao.org/aos/agrovoc/c_b2f1cf72,morphology,http://aims.fao.org/aos/agrovoc/c_49903
lake morphology,http://aims.fao.org/aos/agrovoc/c_75bbb84b,lakes,http://aims.fao.org/aos/agrovoc/c_4160
lake morphology,http://aims.fao.org/aos/agrovoc/c_75bbb84b,morphology,http://aims.fao.org/aos/agrovoc/c_49903
coastal morphology,http://aims.fao.org/aos/agrovoc/c_758f6804,morphology,http://aims.fao.org/aos/agrovoc/c_49903
oxygen isotope stratigraphy,http://aims.fao.org/aos/agrovoc/c_5265ad97,oxygen,http://aims.fao.org/aos/agrovoc/c_5477
oxygen isotope stratigraphy,http://aims.fao.org/aos/agrovoc/c_5265ad97,isotopes,http://aims.fao.org/aos/agrovoc/c_11852
petroleum geology,http://aims.fao.org/aos/agrovoc/c_e8546412,petroleum,http://aims.fao.org/aos/agrovoc/c_5747
soil sciences,http://aims.fao.org/aos/agrovoc/c_7188,soil,http://aims.fao.org/aos/agrovoc/c_7156
sediment chemistry,http://aims.fao.org/aos/agrovoc/c_1e2f007a,sediment,http://aims.fao.org/aos/agrovoc/c_25341
karst hydrology,http://aims.fao.org/aos/agrovoc/c_4e4abfce,karst,http://aims.fao.org/aos/agrovoc/c_33509
soil hydrology,http://aims.fao.org/aos/agrovoc/c_79e2033c,soil,http://aims.fao.org/aos/agrovoc/c_7156
forest meteorology,http://aims.fao.org/aos/agrovoc/c_10982,forests,http://aims.fao.org/aos/agrovoc/c_3062
geological history,http://aims.fao.org/aos/agrovoc/c_c581d6e3,history,http://aims.fao.org/aos/agrovoc/c_3635
economic geography,http://aims.fao.org/aos/agrovoc/c_2473,economics,http://aims.fao.org/aos/agrovoc/c_2481
chemical oceanography,http://aims.fao.org/aos/agrovoc/c_1516,chemicals,http://aims.fao.org/aos/agrovoc/c_1520
fishery oceanography,http://aims.fao.org/aos/agrovoc/c_2938,fisheries,http://aims.fao.org/aos/agrovoc/c_2934
radio oceanography,http://aims.fao.org/aos/agrovoc/c_67f699fc,radio,http://aims.fao.org/aos/agrovoc/c_6424
chemical limnology,http://aims.fao.org/aos/agrovoc/c_2b1278aa,chemicals,http://aims.fao.org/aos/agrovoc/c_1520
fishery limnology,http://aims.fao.org/aos/agrovoc/c_b88ee31d,fisheries,http://aims.fao.org/aos/agrovoc/c_2934
food science,http://aims.fao.org/aos/agrovoc/c_3027,foods,http://aims.fao.org/aos/agrovoc/c_3032
plant sciences,http://aims.fao.org/aos/agrovoc/c_5981,plants,http://aims.fao.org/aos/agrovoc/c_5993
