nome,uriVella,NovoElemento,uriNiovo
animal housing systems,http://aims.fao.org/aos/agrovoc/c_0883a013,animals,http://aims.fao.org/aos/agrovoc/c_444
animal housing systems,http://aims.fao.org/aos/agrovoc/c_0883a013,housing,http://aims.fao.org/aos/agrovoc/c_3678
straw flow systems,http://aims.fao.org/aos/agrovoc/c_b40ab95b,straw,http://aims.fao.org/aos/agrovoc/c_7441
mole drainage,http://aims.fao.org/aos/agrovoc/c_25350,moles,http://aims.fao.org/aos/agrovoc/c_4893
individual feeding,http://aims.fao.org/aos/agrovoc/c_3837,individuals,http://aims.fao.org/aos/agrovoc/c_49823
zero grazing,http://aims.fao.org/aos/agrovoc/c_19085,grazing,http://aims.fao.org/aos/agrovoc/c_25243
grazing systems,http://aims.fao.org/aos/agrovoc/c_3367,grazing,http://aims.fao.org/aos/agrovoc/c_25243
forest grazing,http://aims.fao.org/aos/agrovoc/c_3046,forests,http://aims.fao.org/aos/agrovoc/c_3062
common grazing,http://aims.fao.org/aos/agrovoc/c_10034,commons,http://aims.fao.org/aos/agrovoc/c_778a14cf
pasture feeding,http://aims.fao.org/aos/agrovoc/c_17038,pastures,http://aims.fao.org/aos/agrovoc/c_5626
set stocking,http://aims.fao.org/aos/agrovoc/c_b1a929ea,sets,http://aims.fao.org/aos/agrovoc/c_7004
reduced protein feeding,http://aims.fao.org/aos/agrovoc/c_de71a194,proteins,http://aims.fao.org/aos/agrovoc/c_6259
tractor cabs,http://aims.fao.org/aos/agrovoc/c_7846,tractors,http://aims.fao.org/aos/agrovoc/c_7847
progeny testing,http://aims.fao.org/aos/agrovoc/c_6216,progeny,http://aims.fao.org/aos/agrovoc/c_16019
variety trials,http://aims.fao.org/aos/agrovoc/c_26833,varieties,http://aims.fao.org/aos/agrovoc/c_8157
animal performance,http://aims.fao.org/aos/agrovoc/c_5698,animals,http://aims.fao.org/aos/agrovoc/c_444
meat performance,http://aims.fao.org/aos/agrovoc/c_32877,meat,http://aims.fao.org/aos/agrovoc/c_4669
milk performance,http://aims.fao.org/aos/agrovoc/c_24276,milk,http://aims.fao.org/aos/agrovoc/c_4826
milk recording,http://aims.fao.org/aos/agrovoc/c_24050,milk,http://aims.fao.org/aos/agrovoc/c_4826
crop performance,http://aims.fao.org/aos/agrovoc/c_35199,crops,http://aims.fao.org/aos/agrovoc/c_1972
crop yield,http://aims.fao.org/aos/agrovoc/c_10176,crops,http://aims.fao.org/aos/agrovoc/c_1972
forage yield,http://aims.fao.org/aos/agrovoc/c_15adb263,forage,http://aims.fao.org/aos/agrovoc/c_36108
equipment testing,http://aims.fao.org/aos/agrovoc/c_25723,equipment,http://aims.fao.org/aos/agrovoc/c_2631
seed testing,http://aims.fao.org/aos/agrovoc/c_6939,seed,http://aims.fao.org/aos/agrovoc/c_6927
soil analysis,http://aims.fao.org/aos/agrovoc/c_7198,soil,http://aims.fao.org/aos/agrovoc/c_7156
soil analysis,http://aims.fao.org/aos/agrovoc/c_7198,analysis,http://aims.fao.org/aos/agrovoc/c_49928
concept maps,http://aims.fao.org/aos/agrovoc/c_49844,maps,http://aims.fao.org/aos/agrovoc/c_b43d8acf
application ontologies,http://aims.fao.org/aos/agrovoc/c_49846,application,http://aims.fao.org/aos/agrovoc/c_331436
upper level ontologies,http://aims.fao.org/aos/agrovoc/c_49847,levels,http://aims.fao.org/aos/agrovoc/c_976a1ab6
standard upper level ontologies,http://aims.fao.org/aos/agrovoc/c_49848,standards,http://aims.fao.org/aos/agrovoc/c_7367
taxonomy (information management),http://aims.fao.org/aos/agrovoc/c_49906,taxonomy,http://aims.fao.org/aos/agrovoc/c_7631
taxonomy (information management),http://aims.fao.org/aos/agrovoc/c_49906,information,http://aims.fao.org/aos/agrovoc/c_330966
taxonomy (information management),http://aims.fao.org/aos/agrovoc/c_49906,management,http://aims.fao.org/aos/agrovoc/c_16086
subject headings,http://aims.fao.org/aos/agrovoc/c_49841,heading,http://aims.fao.org/aos/agrovoc/c_3510
topic map,http://aims.fao.org/aos/agrovoc/c_49843,maps,http://aims.fao.org/aos/agrovoc/c_b43d8acf
risk taxonomy,http://aims.fao.org/aos/agrovoc/c_5789ee9a,risk,http://aims.fao.org/aos/agrovoc/c_6612
authority files,http://aims.fao.org/aos/agrovoc/c_49854,authorities,http://aims.fao.org/aos/agrovoc/c_50157
water distribution systems,http://aims.fao.org/aos/agrovoc/c_16510,water,http://aims.fao.org/aos/agrovoc/c_8309
farm typology,http://aims.fao.org/aos/agrovoc/c_a4f92a63,farms,http://aims.fao.org/aos/agrovoc/c_2809
farm typology,http://aims.fao.org/aos/agrovoc/c_a4f92a63,typology,http://aims.fao.org/aos/agrovoc/c_29008
animal categories,http://aims.fao.org/aos/agrovoc/c_02400a0b,animals,http://aims.fao.org/aos/agrovoc/c_444
companion planting,http://aims.fao.org/aos/agrovoc/c_35927,planting,http://aims.fao.org/aos/agrovoc/c_5992
sole cropping,http://aims.fao.org/aos/agrovoc/c_7223,soles,http://aims.fao.org/aos/agrovoc/c_7227
phased planting,http://aims.fao.org/aos/agrovoc/c_5762,planting,http://aims.fao.org/aos/agrovoc/c_5992
ley farming,http://aims.fao.org/aos/agrovoc/c_4303,leys,http://aims.fao.org/aos/agrovoc/c_16189
shifting cultivation,http://aims.fao.org/aos/agrovoc/c_7038,cultivation,http://aims.fao.org/aos/agrovoc/c_2018
fallow systems,http://aims.fao.org/aos/agrovoc/c_2784,fallow,http://aims.fao.org/aos/agrovoc/c_34007
catch cropping,http://aims.fao.org/aos/agrovoc/c_1385,catches,http://aims.fao.org/aos/agrovoc/c_9665
off-season cultivation,http://aims.fao.org/aos/agrovoc/c_24935,cultivation,http://aims.fao.org/aos/agrovoc/c_2018
cooperative farming,http://aims.fao.org/aos/agrovoc/c_1859,cooperatives,http://aims.fao.org/aos/agrovoc/c_10090
subsistence farming,http://aims.fao.org/aos/agrovoc/c_7485,subsistence,http://aims.fao.org/aos/agrovoc/c_e951c218
contract farming,http://aims.fao.org/aos/agrovoc/c_1839,contracts,http://aims.fao.org/aos/agrovoc/c_1840
mountain farming,http://aims.fao.org/aos/agrovoc/c_25673,mountains,http://aims.fao.org/aos/agrovoc/c_12676
agroforestry systems,http://aims.fao.org/aos/agrovoc/c_330982,agroforestry,http://aims.fao.org/aos/agrovoc/c_207
family farming,http://aims.fao.org/aos/agrovoc/c_1422957329186,families,http://aims.fao.org/aos/agrovoc/c_2785
low input agriculture,http://aims.fao.org/aos/agrovoc/c_34370,inputs,http://aims.fao.org/aos/agrovoc/c_11788
aquaculture systems,http://aims.fao.org/aos/agrovoc/c_448881b5,aquaculture,http://aims.fao.org/aos/agrovoc/c_550
livestock systems,http://aims.fao.org/aos/agrovoc/c_18a608e7,livestock,http://aims.fao.org/aos/agrovoc/c_4397
ricefield aquaculture,http://aims.fao.org/aos/agrovoc/c_13936,aquaculture,http://aims.fao.org/aos/agrovoc/c_550
