nome,uriVella,NovoElemento,uriNiovo
space biotechnology,http://aims.fao.org/aos/agrovoc/c_27679,space,http://aims.fao.org/aos/agrovoc/c_330769
food preservation,http://aims.fao.org/aos/agrovoc/c_25005,preservation,http://aims.fao.org/aos/agrovoc/c_6171
sugar technology,http://aims.fao.org/aos/agrovoc/c_28586,sugar,http://aims.fao.org/aos/agrovoc/c_7498
food processing,http://aims.fao.org/aos/agrovoc/c_37969,processing,http://aims.fao.org/aos/agrovoc/c_6195
nutrient improvement,http://aims.fao.org/aos/agrovoc/c_5270,improvement,http://aims.fao.org/aos/agrovoc/c_330895
fish processing,http://aims.fao.org/aos/agrovoc/c_29020,fish,http://aims.fao.org/aos/agrovoc/c_15903
fishmeal processing,http://aims.fao.org/aos/agrovoc/c_37d82482,fishmeal,http://aims.fao.org/aos/agrovoc/c_2925
milk processing,http://aims.fao.org/aos/agrovoc/c_2113dd9f,milk,http://aims.fao.org/aos/agrovoc/c_4826
information technology,http://aims.fao.org/aos/agrovoc/c_36660,information,http://aims.fao.org/aos/agrovoc/c_330966
communication technology,http://aims.fao.org/aos/agrovoc/c_28653,communication,http://aims.fao.org/aos/agrovoc/c_37866
mass media,http://aims.fao.org/aos/agrovoc/c_4640,mass,http://aims.fao.org/aos/agrovoc/c_4639
electronic data transmission,http://aims.fao.org/aos/agrovoc/c_27852,data,http://aims.fao.org/aos/agrovoc/c_49816
digital extension tools,http://aims.fao.org/aos/agrovoc/c_95276007,extension,http://aims.fao.org/aos/agrovoc/c_2762
