nome,uriVella,NovoElemento,uriNiovo
meat animals,http://aims.fao.org/aos/agrovoc/c_4670,meat,http://aims.fao.org/aos/agrovoc/c_4669
beef cattle,http://aims.fao.org/aos/agrovoc/c_862,beef,http://aims.fao.org/aos/agrovoc/c_861
ornamental fishes,http://aims.fao.org/aos/agrovoc/c_5413,fishes,http://aims.fao.org/aos/agrovoc/c_2943
plumage birds,http://aims.fao.org/aos/agrovoc/c_6025,plumage,http://aims.fao.org/aos/agrovoc/c_13466
zoo animals,http://aims.fao.org/aos/agrovoc/c_32736,zoos,http://aims.fao.org/aos/agrovoc/c_8531
layer chickens,http://aims.fao.org/aos/agrovoc/c_12109,layers,http://aims.fao.org/aos/agrovoc/c_f851fe26
layer breeders,http://aims.fao.org/aos/agrovoc/c_4b09d619,layers,http://aims.fao.org/aos/agrovoc/c_f851fe26
dairy cattle,http://aims.fao.org/aos/agrovoc/c_2108,dairies,http://aims.fao.org/aos/agrovoc/c_34761
yearling bulls,http://aims.fao.org/aos/agrovoc/c_6ba03e7b,yearlings,http://aims.fao.org/aos/agrovoc/c_6c68436b
yearling bulls,http://aims.fao.org/aos/agrovoc/c_6ba03e7b,bulls,http://aims.fao.org/aos/agrovoc/c_1148
female yearling (goat),http://aims.fao.org/aos/agrovoc/c_ebb28c90,females,http://aims.fao.org/aos/agrovoc/c_15969
female yearling (goat),http://aims.fao.org/aos/agrovoc/c_ebb28c90,yearlings,http://aims.fao.org/aos/agrovoc/c_6c68436b
male yearling (goat),http://aims.fao.org/aos/agrovoc/c_602869d7,males,http://aims.fao.org/aos/agrovoc/c_15995
male yearling (goat),http://aims.fao.org/aos/agrovoc/c_602869d7,yearlings,http://aims.fao.org/aos/agrovoc/c_6c68436b
dairy goats,http://aims.fao.org/aos/agrovoc/c_129375ee,dairies,http://aims.fao.org/aos/agrovoc/c_34761
fibre goats,http://aims.fao.org/aos/agrovoc/c_cf6e817f,fibres,http://aims.fao.org/aos/agrovoc/c_2879
ewe hoggs,http://aims.fao.org/aos/agrovoc/c_10705,ewes,http://aims.fao.org/aos/agrovoc/c_2746
dairy sheep,http://aims.fao.org/aos/agrovoc/c_18cf2753,dairies,http://aims.fao.org/aos/agrovoc/c_34761
water buffaloes,http://aims.fao.org/aos/agrovoc/c_8313,water,http://aims.fao.org/aos/agrovoc/c_8309
suckling piglets,http://aims.fao.org/aos/agrovoc/c_a6dcd255,suckling,http://aims.fao.org/aos/agrovoc/c_7493
fattening pigs,http://aims.fao.org/aos/agrovoc/c_59e0f842,fattening,http://aims.fao.org/aos/agrovoc/c_2817
milk yielding animals,http://aims.fao.org/aos/agrovoc/c_4833,milk,http://aims.fao.org/aos/agrovoc/c_4826
skin producing animals,http://aims.fao.org/aos/agrovoc/c_7101,skin,http://aims.fao.org/aos/agrovoc/c_7097
oil producing animals,http://aims.fao.org/aos/agrovoc/c_5333,oils,http://aims.fao.org/aos/agrovoc/c_5334
biological control arthropods,http://aims.fao.org/aos/agrovoc/c_919,biological control,http://aims.fao.org/aos/agrovoc/c_918
useful insects,http://aims.fao.org/aos/agrovoc/c_8116,insects,http://aims.fao.org/aos/agrovoc/c_8dcb26c2
honey bees,http://aims.fao.org/aos/agrovoc/c_3654,honey,http://aims.fao.org/aos/agrovoc/c_3652
worker bees,http://aims.fao.org/aos/agrovoc/c_8444,workers,http://aims.fao.org/aos/agrovoc/c_8445
wool producing animals,http://aims.fao.org/aos/agrovoc/c_8438,wool,http://aims.fao.org/aos/agrovoc/c_8436
breeding stock,http://aims.fao.org/aos/agrovoc/c_16206,breeding,http://aims.fao.org/aos/agrovoc/c_49902
breeding stock,http://aims.fao.org/aos/agrovoc/c_16206,stocks,http://aims.fao.org/aos/agrovoc/c_28772
laboratory animals,http://aims.fao.org/aos/agrovoc/c_4126,laboratories,http://aims.fao.org/aos/agrovoc/c_15988
