nome,uriVella,NovoElemento,uriNiovo
Anguilla (genus),http://aims.fao.org/aos/agrovoc/c_418,Anguilla,http://aims.fao.org/aos/agrovoc/c_29189
Anguilla (genus),http://aims.fao.org/aos/agrovoc/c_418,genus,http://aims.fao.org/aos/agrovoc/c_11125
Belone belone,http://aims.fao.org/aos/agrovoc/c_41359,Belone,http://aims.fao.org/aos/agrovoc/c_872
Scomberesox saurus,http://aims.fao.org/aos/agrovoc/c_41377,Scomberesox,http://aims.fao.org/aos/agrovoc/c_6869
Cololabis saira,http://aims.fao.org/aos/agrovoc/c_41379,Cololabis,http://aims.fao.org/aos/agrovoc/c_1766
Hyporhamphus affinis,http://aims.fao.org/aos/agrovoc/c_41384,Hyporhamphus,http://aims.fao.org/aos/agrovoc/c_3773
Hyporhamphus gilli,http://aims.fao.org/aos/agrovoc/c_41385,Hyporhamphus,http://aims.fao.org/aos/agrovoc/c_3773
Hyporhamphus ihi,http://aims.fao.org/aos/agrovoc/c_41386,Hyporhamphus,http://aims.fao.org/aos/agrovoc/c_3773
Hyporhamphus roberti,http://aims.fao.org/aos/agrovoc/c_41387,Hyporhamphus,http://aims.fao.org/aos/agrovoc/c_3773
Hyporhamphus snyderi,http://aims.fao.org/aos/agrovoc/c_41388,Hyporhamphus,http://aims.fao.org/aos/agrovoc/c_3773
Hyporhamphus unifasciatus,http://aims.fao.org/aos/agrovoc/c_41389,Hyporhamphus,http://aims.fao.org/aos/agrovoc/c_3773
Hyporhamphus sajori,http://aims.fao.org/aos/agrovoc/c_41390,Hyporhamphus,http://aims.fao.org/aos/agrovoc/c_3773
Arrhamphus sclerolepis,http://aims.fao.org/aos/agrovoc/c_41401,Arrhamphus,http://aims.fao.org/aos/agrovoc/c_625
Exocoetus volitans,http://aims.fao.org/aos/agrovoc/c_41406,Exocoetus,http://aims.fao.org/aos/agrovoc/c_2752
Cypselurus oligolepis,http://aims.fao.org/aos/agrovoc/c_41407,Cypselurus,http://aims.fao.org/aos/agrovoc/c_2081
Cypselurus agoo,http://aims.fao.org/aos/agrovoc/c_41408,Cypselurus,http://aims.fao.org/aos/agrovoc/c_2081
Cypselurus simus,http://aims.fao.org/aos/agrovoc/c_41409,Cypselurus,http://aims.fao.org/aos/agrovoc/c_2081
Cypselurus poecilopterus,http://aims.fao.org/aos/agrovoc/c_41410,Cypselurus,http://aims.fao.org/aos/agrovoc/c_2081
Prognichthys brevipinnis,http://aims.fao.org/aos/agrovoc/c_41412,Prognichthys,http://aims.fao.org/aos/agrovoc/c_6219
Gadus macrocephalus,http://aims.fao.org/aos/agrovoc/c_41474,Gadus,http://aims.fao.org/aos/agrovoc/c_3163
Gadus ogac,http://aims.fao.org/aos/agrovoc/c_41475,Gadus,http://aims.fao.org/aos/agrovoc/c_3163
Lota lota,http://aims.fao.org/aos/agrovoc/c_41477,Lota,http://aims.fao.org/aos/agrovoc/c_4439
Molva molva,http://aims.fao.org/aos/agrovoc/c_41479,Molva,http://aims.fao.org/aos/agrovoc/c_4900
Molva dypterygia,http://aims.fao.org/aos/agrovoc/c_41480,Molva,http://aims.fao.org/aos/agrovoc/c_4900
Phycis blennoides,http://aims.fao.org/aos/agrovoc/c_41483,Phycis,http://aims.fao.org/aos/agrovoc/c_26612
Phycis phycis,http://aims.fao.org/aos/agrovoc/c_41484,Phycis,http://aims.fao.org/aos/agrovoc/c_26612
Phycis chesteri,http://aims.fao.org/aos/agrovoc/c_41485,Phycis,http://aims.fao.org/aos/agrovoc/c_26612
Urophycis brasiliensis,http://aims.fao.org/aos/agrovoc/c_41487,Urophycis,http://aims.fao.org/aos/agrovoc/c_8110
Urophycis chuss,http://aims.fao.org/aos/agrovoc/c_41488,Urophycis,http://aims.fao.org/aos/agrovoc/c_8110
Urophycis tenuis,http://aims.fao.org/aos/agrovoc/c_41489,Urophycis,http://aims.fao.org/aos/agrovoc/c_8110
Urophycis earllii,http://aims.fao.org/aos/agrovoc/c_41490,Urophycis,http://aims.fao.org/aos/agrovoc/c_8110
Urophycis floridana,http://aims.fao.org/aos/agrovoc/c_41491,Urophycis,http://aims.fao.org/aos/agrovoc/c_8110
Urophycis regia,http://aims.fao.org/aos/agrovoc/c_41492,Urophycis,http://aims.fao.org/aos/agrovoc/c_8110
Urophycis cirrata,http://aims.fao.org/aos/agrovoc/c_41493,Urophycis,http://aims.fao.org/aos/agrovoc/c_8110
